,Position,Driver,Car,Lap,Time
12,1,Ayrton Senna,Lotus Honda,39,1:40.464
5,2,Nigel Mansell,Williams Honda,36,1:40.535
6,3,Nelson Piquet,Williams Honda,57,1:41.196
1,4,Alain Prost,McLaren TAG,56,1:41.340
28,5,Gerhard Berger,Ferrari,46,1:42.238
20,6,Thierry Boutsen,Benetton Ford,41,1:42.252
2,7,Stefan Johansson,McLaren TAG,53,1:42.332
18,8,Eddie  Cheever,Arrows Megatron,35,1:43.951
3,9,Jonathan  Palmer,Tyrrell Ford,41,1:44.048
7,10,Riccardo Patrese,Brabham BMW,46,1:44.255
27,11,Michele Alboreto,Ferrari,19,1:45.016
30,12,Philippe Alliot,Lola Ford,33,1:45.869
4,13,Philippe Streiff,Tyrrell Ford,35,1:46.048
25,14,Rene Arnoux,Ligier Megatron,38,1:46.937
24,15,Alessandro Nannini,Minardi Motori Moderni,13,1:47.069
17,16,Derek Warwick,Arrows Megatron,11,1:47.260
26,17,Piercarlo Ghinzani,Ligier Megatron,21,1:47.477
10,18,Christian Danner,Zakspeed,38,1:47.532
19,19,Teo Fabi,Benetton Ford,4,1:48.325
9,20,Martin Brundle,Zakspeed,14,1:48.744
16,21,Ivan Capelli,March Ford,5,1:49.341
14,22,Pascal Fabre,AGS Ford,32,1:50.309
21,23,Alex Caffi,Osella Alfa Romeo,2,1:53.496
8,24,Andrea de Cesaris,Brabham BMW,2,1:53.860
23,25,Adrian Campos,Minardi Motori Moderni,1,2:16.237
