,Position,Driver,Car,Time
5,1,Nigel Mansell,Williams Honda,1:39.264
12,2,Ayrton Senna,Lotus Honda,1:40.607
6,3,Nelson Piquet,Williams Honda,1:40.942
20,4,Thierry Boutsen,Benetton Ford,1:42.050
1,5,Alain Prost,McLaren TAG,1:42.357
18,6,Eddie  Cheever,Arrows Megatron,1:42.361
27,7,Michele Alboreto,Ferrari,1:42.684
19,8,Teo Fabi,Benetton Ford,1:42.918
7,9,Riccardo Patrese,Brabham BMW,1:43.479
17,10,Derek Warwick,Arrows Megatron,1:43.541
2,11,Stefan Johansson,McLaren TAG,1:43.797
28,12,Gerhard Berger,Ferrari,1:43.816
3,13,Jonathan  Palmer,Tyrrell Ford,1:44.350
4,14,Philippe Streiff,Tyrrell Ford,1:45.037
9,15,Martin Brundle,Zakspeed,1:45.291
10,16,Christian Danner,Zakspeed,1:45.740
8,17,Andrea de Cesaris,Brabham BMW,1:46.046
24,18,Alessandro Nannini,Minardi Motori Moderni,1:46.083
21,19,Alex Caffi,Osella Alfa Romeo,1:46.124
30,20,Philippe Alliot,Lola Ford,1:46.194
25,21,Rene Arnoux,Ligier Megatron,1:46.211
16,22,Ivan Capelli,March Ford,1:46.269
26,23,Piercarlo Ghinzani,Ligier Megatron,1:47.471
11,24,Satoru Nakajima,Lotus Honda,1:48.801
23,25,Adrian Campos,Minardi Motori Moderni,1:50.495
14,26,Pascal Fabre,AGS Ford,1:53.644
