,Position,Driver,Car,Time
6,1,Nico Rosberg,Mercedes,1:14.363
44,2,Lewis Hamilton,Mercedes,1:14.470
3,3,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:14.726
33,4,Max Verstappen,Red Bull Racing TAG Heuer,1:14.834
7,5,Kimi Räikkönen,Ferrari,1:15.142
5,6,Sebastian Vettel,Ferrari,1:15.315
77,7,Valtteri Bottas,Williams Mercedes,1:15.530
27,8,Nico Hulkenberg,Force India Mercedes,1:15.510
11,9,Sergio Perez,Force India Mercedes,1:15.537
19,10,Felipe Massa,Williams Mercedes,1:15.615
21,11,Esteban Gutierrez ,Haas Ferrari,1:15.883
22,12,Jenson Button,McLaren Honda,1:15.909
14,13,Fernando Alonso,McLaren Honda,1:16.041
30,14,Jolyon Palmer,Renault,1:16.665
55,15,Carlos Sainz,Toro Rosso Ferrari,1:15.989
20,16,Kevin Magnussen,Renault,1:16.716
94,17,Pascal Wehrlein,MRT Mercedes,1:16.717
26,18,Daniil Kvyat,Toro Rosso Ferrari,1:16.876
88,19,Rio Haryanto,MRT Mercedes,1:16.977
8,20,Romain Grosjean,Haas Ferrari,1:16.086
12,21,Felipe Nasr,Sauber Ferrari,1:17.123
9,22,Marcus Ericsson,Sauber Ferrari,1:17.238
