,Position,Driver,Car,Q1,Q2,Q3,Laps
6,1,Nico Rosberg,Mercedes,1:15.485,1:14.839,1:14.363,12
44,2,Lewis Hamilton,Mercedes,1:15.243,1:14.748,1:14.470,12
3,3,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:15.591,1:15.545,1:14.726,14
33,4,Max Verstappen,Red Bull Racing TAG Heuer,1:15.875,1:15.124,1:14.834,12
7,5,Kimi Räikkönen,Ferrari,1:15.752,1:15.242,1:15.142,12
5,6,Sebastian Vettel,Ferrari,1:15.927,1:15.630,1:15.315,14
27,7,Nico Hulkenberg,Force India Mercedes,1:16.301,1:15.623,1:15.510,15
77,8,Valtteri Bottas,Williams Mercedes,1:15.952,1:15.490,1:15.530,12
11,9,Sergio Perez,Force India Mercedes,1:16.169,1:15.500,1:15.537,17
19,10,Felipe Massa,Williams Mercedes,1:16.503,1:15.699,1:15.615,13
21,11,Esteban Gutierrez ,Haas Ferrari,1:15.987,1:15.883,,14
22,12,Jenson Button,McLaren Honda,1:16.172,1:15.909,,14
55,13,Carlos Sainz,Toro Rosso Ferrari,1:16.317,1:15.989,,12
14,14,Fernando Alonso,McLaren Honda,1:16.338,1:16.041,,11
8,15,Romain Grosjean,Haas Ferrari,1:16.328,1:16.086,,14
30,16,Jolyon Palmer,Renault,1:16.636,1:16.665,,14
20,17,Kevin Magnussen,Renault,1:16.716,,,8
94,18,Pascal Wehrlein,MRT Mercedes,1:16.717,,,10
26,19,Daniil Kvyat,Toro Rosso Ferrari,1:16.876,,,6
88,20,Rio Haryanto,MRT Mercedes,1:16.977,,,9
12,21,Felipe Nasr,Sauber Ferrari,1:17.123,,,6
9,22,Marcus Ericsson,Sauber Ferrari,1:17.238,,,6
