,Position,Driver,Car,Time / Gap,Laps
77,1,Valtteri Bottas,Mercedes,1:26.225,25
44,2,Lewis Hamilton,Mercedes,+0.136s,27
16,3,Charles Leclerc,Ferrari,+0.456s,25
33,4,Max Verstappen,Red Bull Racing Honda,+0.671s,24
5,5,Sebastian Vettel,Ferrari,+0.813s,25
4,6,Lando Norris,McLaren Renault,+0.942s,29
11,7,Sergio Perez,Racing Point BWT Mercedes,+1.020s,25
3,8,Daniel Ricciardo,Renault,+1.167s,23
23,9,Alexander Albon,Red Bull Racing Honda,+1.224s,23
10,10,Pierre Gasly,AlphaTauri Honda,+1.303s,28
31,11,Esteban Ocon,Renault,+1.409s,27
26,12,Daniil Kvyat,AlphaTauri Honda,+1.570s,26
55,13,Carlos Sainz,McLaren Renault,+1.699s,29
7,14,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+1.731s,25
8,15,Romain Grosjean,Haas Ferrari,+1.890s,27
20,16,Kevin Magnussen,Haas Ferrari,+2.068s,27
63,17,George Russell,Williams Mercedes,+2.118s,30
99,18,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,+2.145s,25
6,19,Nicholas Latifi,Williams Mercedes,+2.716s,26
