,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
33,1,Max Verstappen,Red Bull Racing Honda,60,1:28.139,210.267,15:49:08
44,2,Lewis Hamilton,Mercedes,58,1:28.145,210.253,15:46:06
3,3,Daniel Ricciardo,Renault,53,1:29.584,206.876,15:38:48
11,4,Sergio Perez,Racing Point BWT Mercedes,58,1:29.700,206.608,15:46:20
10,5,Pierre Gasly,AlphaTauri Honda,53,1:30.110,205.668,15:38:53
55,6,Carlos Sainz,McLaren Renault,53,1:30.129,205.625,15:38:51
5,7,Sebastian Vettel,Ferrari,43,1:30.408,204.990,15:21:43
20,8,Kevin Magnussen,Haas Ferrari,37,1:30.456,204.881,15:12:26
7,9,Kimi Räikkönen,Alfa Romeo Racing Ferrari,54,1:30.512,204.755,15:40:36
16,10,Charles Leclerc,Ferrari,54,1:30.712,204.303,15:40:27
27,11,Nico Hulkenberg,Racing Point BWT Mercedes,58,1:30.733,204.256,15:46:33
99,12,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,38,1:30.909,203.861,15:13:53
6,13,Nicholas Latifi,Williams Mercedes,39,1:31.377,202.816,15:15:33
8,14,Romain Grosjean,Haas Ferrari,54,1:31.562,202.407,15:40:32
77,15,Valtteri Bottas,Mercedes,8,1:31.884,201.697,14:25:32
26,16,Daniil Kvyat,AlphaTauri Honda,41,1:32.214,200.975,15:18:46
4,17,Lando Norris,McLaren Renault,40,1:32.328,200.727,15:16:22
23,18,Alexander Albon,Red Bull Racing Honda,9,1:32.330,200.723,14:27:47
31,19,Esteban Ocon,Renault,21,1:33.189,198.873,14:46:35
63,20,George Russell,Williams Mercedes,6,1:34.526,196.060,14:22:57
