,Position,Driver,Car,Laps,Time,Points
44,1,Lewis Hamilton,Mercedes,60,1:35:49.641,25
33,2,Max Verstappen,Red Bull Racing Honda,60,+4.470s,19
3,3,Daniel Ricciardo,Renault,60,+14.613s,15
11,4,Sergio Perez,Racing Point BWT Mercedes,60,+16.070s,12
55,5,Carlos Sainz,McLaren Renault,60,+21.905s,10
10,6,Pierre Gasly,AlphaTauri Honda,60,+22.766s,8
16,7,Charles Leclerc,Ferrari,60,+30.814s,6
27,8,Nico Hulkenberg,Racing Point BWT Mercedes,60,+32.596s,4
8,9,Romain Grosjean,Haas Ferrari,60,+39.081s,2
99,10,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,60,+40.035s,1
5,11,Sebastian Vettel,Ferrari,60,+40.810s,0
7,12,Kimi Räikkönen,Alfa Romeo Racing Ferrari,60,+41.476s,0
20,13,Kevin Magnussen,Haas Ferrari,60,+49.585s,0
6,14,Nicholas Latifi,Williams Mercedes,60,+54.449s,0
26,15,Daniil Kvyat,AlphaTauri Honda,60,+55.588s,0
4,NC,Lando Norris,McLaren Renault,42,DNF,0
23,NC,Alexander Albon,Red Bull Racing Honda,23,DNF,0
31,NC,Esteban Ocon,Renault,22,DNF,0
77,NC,Valtteri Bottas,Mercedes,18,DNF,0
63,NC,George Russell,Williams Mercedes,12,DNF,0
