,Position,Driver,Car,Time
77,1,Valtteri Bottas,Mercedes,1:25.269
44,2,Lewis Hamilton,Mercedes,1:25.525
33,3,Max Verstappen,Red Bull Racing Honda,1:25.562
16,4,Charles Leclerc,Ferrari,1:26.035
23,5,Alexander Albon,Red Bull Racing Honda,1:26.047
3,6,Daniel Ricciardo,Renault,1:26.223
31,7,Esteban Ocon,Renault,1:26.242
4,8,Lando Norris,McLaren Renault,1:26.458
11,9,Sergio Perez,Racing Point BWT Mercedes,1:26.704
55,10,Carlos Sainz,McLaren Renault,1:26.709
5,11,Sebastian Vettel,Ferrari,1:26.738
10,12,Pierre Gasly,AlphaTauri Honda,1:26.776
26,13,Daniil Kvyat,AlphaTauri Honda,1:26.848
99,14,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:26.936
20,15,Kevin Magnussen,Haas Ferrari,1:27.125
8,16,Romain Grosjean,Haas Ferrari,1:27.552
63,17,George Russell,Williams Mercedes,1:27.564
6,18,Nicholas Latifi,Williams Mercedes,1:27.812
7,19,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:27.817
27,20,Nico Hulkenberg,Racing Point BWT Mercedes,1:28.021
