,Position,Driver,Car,Q1,Q2,Q3,Laps
77,1,Valtteri Bottas,Mercedes,1:26.573,1:25.971,1:25.269,19
44,2,Lewis Hamilton,Mercedes,1:26.620,1:25.390,1:25.525,18
33,3,Max Verstappen,Red Bull Racing Honda,1:26.319,1:25.467,1:25.562,15
16,4,Charles Leclerc,Ferrari,1:26.857,1:26.240,1:26.035,18
23,5,Alexander Albon,Red Bull Racing Honda,1:27.126,1:26.285,1:26.047,15
3,6,Daniel Ricciardo,Renault,1:26.836,1:26.096,1:26.223,18
31,7,Esteban Ocon,Renault,1:27.086,1:26.364,1:26.242,20
4,8,Lando Norris,McLaren Renault,1:26.829,1:26.316,1:26.458,18
11,9,Sergio Perez,Racing Point BWT Mercedes,1:27.120,1:26.330,1:26.704,17
55,10,Carlos Sainz,McLaren Renault,1:27.378,1:26.361,1:26.709,20
5,11,Sebastian Vettel,Ferrari,1:27.107,1:26.738,,16
10,12,Pierre Gasly,AlphaTauri Honda,1:27.072,1:26.776,,16
26,13,Daniil Kvyat,AlphaTauri Honda,1:27.285,1:26.848,,16
99,14,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:27.532,1:26.936,,14
20,15,Kevin Magnussen,Haas Ferrari,1:27.231,1:27.125,,16
8,16,Romain Grosjean,Haas Ferrari,1:27.552,,,10
63,17,George Russell,Williams Mercedes,1:27.564,,,9
6,18,Nicholas Latifi,Williams Mercedes,1:27.812,,,9
7,19,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:27.817,,,8
27,20,Nico Hulkenberg,Racing Point BWT Mercedes,1:28.021,,,10
