,Position,Driver,Car,Laps,Time,Points
44,1,Lewis Hamilton,Mercedes,52,1:31:27.729,25
6,2,Nico Rosberg,Mercedes,52,+10.956s,18
5,3,Sebastian Vettel,Ferrari,52,+25.443s,15
19,4,Felipe Massa,Williams Mercedes,52,+36.839s,12
77,5,Valtteri Bottas,Williams Mercedes,52,+63.194s,10
26,6,Daniil Kvyat,Red Bull Racing Renault,52,+63.955s,8
27,7,Nico Hulkenberg,Force India Mercedes,52,+78.744s,6
7,8,Kimi Räikkönen,Ferrari,51,+1 lap,4
11,9,Sergio Perez,Force India Mercedes,51,+1 lap,2
14,10,Fernando Alonso,McLaren Honda,51,+1 lap,1
9,11,Marcus Ericsson,Sauber Ferrari,51,+1 lap,0
98,12,Roberto Merhi,Marussia Ferrari,49,+3 laps,0
28,13,Will Stevens,Marussia Ferrari,49,+3 laps,0
55,NC,Carlos Sainz,STR Renault,31,DNF,0
3,NC,Daniel Ricciardo,Red Bull Racing Renault,21,DNF,0
33,NC,Max Verstappen,STR Renault,3,DNF,0
8,NC,Romain Grosjean,Lotus Mercedes,0,DNF,0
13,NC,Pastor Maldonado,Lotus Mercedes,0,DNF,0
22,NC,Jenson Button,McLaren Honda,0,DNF,0
12,NC,Felipe Nasr,Sauber Ferrari,0,DNS,0
