,Position,Driver,Car,Time / Gap,Laps
8,1,Mika Hakkinen,McLaren Mercedes,1:19.689,26
5,2,Giancarlo Fisichella,Benetton Playlife,+0.636s,34
1,3,Jacques Villeneuve,Williams Mecachrome,+0.637s,35
3,4,Michael Schumacher,Ferrari,+0.772s,32
7,5,David Coulthard,McLaren Mercedes,+0.888s,28
4,6,Eddie Irvine,Ferrari,+1.152s,33
6,7,Alexander Wurz,Benetton Playlife,+1.325s,37
2,8,Heinz-Harald Frentzen,Williams Mecachrome,+1.485s,35
10,9,Ralf Schumacher,Jordan Mugen Honda,+1.662s,22
11,10,Olivier Panis,Prost Peugeot,+1.702s,44
18,11,Rubens Barrichello,Stewart Ford,+1.849s,28
9,12,Damon Hill,Jordan Mugen Honda,+2.049s,41
12,13,Jarno Trulli,Prost Peugeot,+2.075s,47
14,14,Jean Alesi,Sauber Petronas,+2.263s,38
16,15,Pedro Diniz,Arrows,+2.796s,41
19,16,Jos Verstappen,Stewart Ford,+2.877s,25
15,17,Johnny Herbert,Sauber Petronas,+2.914s,31
21,18,Toranosuke Takagi,Tyrrell Ford,+3.103s,35
22,19,Shinji Nakano,Minardi Ford,+3.278s,39
23,20,Esteban Tuero,Minardi Ford,+3.642s,43
20,21,Ricardo Rosset,Tyrrell Ford,+3.955s,27
17,22,Mika Salo,Arrows,+4.315s,25
