,Position,Driver,Car,Lap,Time,Avg Speed
8,1,Mika Hakkinen,McLaren Mercedes,25,1:20.450,203.873
7,2,David Coulthard,McLaren Mercedes,61,1:20.715,203.203
3,3,Michael Schumacher,Ferrari,65,1:21.001,202.486
2,4,Heinz-Harald Frentzen,Williams Mecachrome,65,1:21.394,201.508
5,5,Giancarlo Fisichella,Benetton Playlife,65,1:21.506,201.231
4,6,Eddie Irvine,Ferrari,62,1:21.667,200.835
1,7,Jacques Villeneuve,Williams Mecachrome,33,1:21.701,200.751
9,8,Damon Hill,Jordan Mugen Honda,66,1:21.741,200.653
6,9,Alexander Wurz,Benetton Playlife,61,1:21.778,200.562
10,10,Ralf Schumacher,Jordan Mugen Honda,21,1:21.881,200.310
14,11,Jean Alesi,Sauber Petronas,43,1:21.979,200.070
15,12,Johnny Herbert,Sauber Petronas,23,1:22.712,198.297
11,13,Olivier Panis,Prost Peugeot,61,1:22.931,197.774
21,14,Toranosuke Takagi,Tyrrell Ford,47,1:23.392,196.680
18,15,Rubens Barrichello,Stewart Ford,33,1:23.412,196.633
17,16,Mika Salo,Arrows,23,1:23.552,196.304
19,17,Jos Verstappen,Stewart Ford,30,1:23.944,195.387
23,18,Esteban Tuero,Minardi Ford,50,1:24.024,195.201
20,19,Ricardo Rosset,Tyrrell Ford,23,1:24.161,194.883
22,20,Shinji Nakano,Minardi Ford,61,1:24.210,194.770
16,21,Pedro Diniz,Arrows,5,1:25.285,192.315
12,22,Jarno Trulli,Prost Peugeot,4,1:25.328,192.218
