,Position,Driver,Car,Time / Gap,Laps
8,1,Mika Hakkinen,McLaren Mercedes,1:19.850,23
3,2,Michael Schumacher,Ferrari,+0.075s,11
10,3,Ralf Schumacher,Jordan Mugen Honda,+0.477s,33
7,4,David Coulthard,McLaren Mercedes,+0.538s,30
1,5,Jacques Villeneuve,Williams Mecachrome,+0.607s,27
2,6,Heinz-Harald Frentzen,Williams Mecachrome,+0.796s,33
6,7,Alexander Wurz,Benetton Playlife,+0.969s,25
5,8,Giancarlo Fisichella,Benetton Playlife,+0.984s,28
12,9,Jarno Trulli,Prost Peugeot,+1.103s,33
4,10,Eddie Irvine,Ferrari,+1.132s,37
9,11,Damon Hill,Jordan Mugen Honda,+1.200s,37
14,12,Jean Alesi,Sauber Petronas,+1.577s,32
15,13,Johnny Herbert,Sauber Petronas,+1.799s,27
17,14,Mika Salo,Arrows,+1.854s,28
16,15,Pedro Diniz,Arrows,+1.931s,29
18,16,Rubens Barrichello,Stewart Ford,+2.426s,24
19,17,Jos Verstappen,Stewart Ford,+2.549s,21
23,18,Esteban Tuero,Minardi Ford,+3.043s,36
21,19,Toranosuke Takagi,Tyrrell Ford,+3.118s,32
22,20,Shinji Nakano,Minardi Ford,+3.169s,32
11,21,Olivier Panis,Prost Peugeot,+4.078s,27
20,22,Ricardo Rosset,Tyrrell Ford,+5.720s,19
