,Position,Driver,Car,Time
44,1,Lewis Hamilton,Mercedes,1:19.273
33,2,Max Verstappen,Red Bull Racing Honda,1:20.489
55,3,Carlos Sainz,McLaren Renault,1:20.671
77,4,Valtteri Bottas,Mercedes,1:20.701
31,5,Esteban Ocon,Renault,1:20.922
23,6,Alexander Albon,Red Bull Racing Honda,1:21.011
10,7,Pierre Gasly,AlphaTauri Honda,1:21.028
3,8,Daniel Ricciardo,Renault,1:21.192
4,9,Lando Norris,McLaren Renault,1:20.925
5,10,Sebastian Vettel,Ferrari,1:21.651
63,11,George Russell,Williams Mercedes,1:19.636
18,12,Lance Stroll,Racing Point BWT Mercedes,1:19.645
26,13,Daniil Kvyat,AlphaTauri Honda,1:19.717
16,14,Charles Leclerc,Ferrari,1:19.628
20,15,Kevin Magnussen,Haas Ferrari,1:20.211
7,16,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:21.372
11,17,Sergio Perez,Racing Point BWT Mercedes,1:21.607
6,18,Nicholas Latifi,Williams Mercedes,1:21.759
99,19,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:21.831
