,Position,Driver,Car,Laps,Time,Points
44,1,Lewis Hamilton,Mercedes,71,1:22:50.683,25
77,2,Valtteri Bottas,Mercedes,71,+13.719s,18
33,3,Max Verstappen,Red Bull Racing Honda,71,+33.698s,15
23,4,Alexander Albon,Red Bull Racing Honda,71,+44.400s,12
4,5,Lando Norris,McLaren Renault,71,+61.470s,10
11,6,Sergio Perez,Racing Point BWT Mercedes,71,+62.387s,8
18,7,Lance Stroll,Racing Point BWT Mercedes,71,+62.453s,6
3,8,Daniel Ricciardo,Renault,71,+62.591s,4
55,9,Carlos Sainz,McLaren Renault,70,+1 lap,3
26,10,Daniil Kvyat,AlphaTauri Honda,70,+1 lap,1
7,11,Kimi Räikkönen,Alfa Romeo Racing Ferrari,70,+1 lap,0
20,12,Kevin Magnussen,Haas Ferrari,70,+1 lap,0
8,13,Romain Grosjean,Haas Ferrari,70,+1 lap,0
99,14,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,70,+1 lap,0
10,15,Pierre Gasly,AlphaTauri Honda,70,+1 lap,0
63,16,George Russell,Williams Mercedes,69,+2 laps,0
6,17,Nicholas Latifi,Williams Mercedes,69,+2 laps,0
31,NC,Esteban Ocon,Renault,25,DNF,0
16,NC,Charles Leclerc,Ferrari,4,DNF,0
5,NC,Sebastian Vettel,Ferrari,1,DNF,0
