,Position,Driver,Car,Q1,Q2,Q3,Laps
44,1,Lewis Hamilton,Mercedes,1:18.188,1:17.825,1:19.273,34
33,2,Max Verstappen,Red Bull Racing Honda,1:18.297,1:17.938,1:20.489,34
55,3,Carlos Sainz,McLaren Renault,1:18.590,1:18.836,1:20.671,33
77,4,Valtteri Bottas,Mercedes,1:18.791,1:18.657,1:20.701,34
31,5,Esteban Ocon,Renault,1:19.687,1:18.764,1:20.922,33
4,6,Lando Norris,McLaren Renault,1:18.504,1:18.448,1:20.925,34
23,7,Alexander Albon,Red Bull Racing Honda,1:20.882,1:19.014,1:21.011,31
10,8,Pierre Gasly,AlphaTauri Honda,1:20.192,1:18.744,1:21.028,33
3,9,Daniel Ricciardo,Renault,1:19.662,1:19.229,1:21.192,32
5,10,Sebastian Vettel,Ferrari,1:20.243,1:19.545,1:21.651,33
16,11,Charles Leclerc,Ferrari,1:20.871,1:19.628,,24
63,12,George Russell,Williams Mercedes,1:20.382,1:19.636,,22
18,13,Lance Stroll,Racing Point BWT Mercedes,1:19.697,1:19.645,,23
26,14,Daniil Kvyat,AlphaTauri Honda,1:19.824,1:19.717,,24
20,15,Kevin Magnussen,Haas Ferrari,1:21.140,1:20.211,,22
7,16,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:21.372,,,12
11,17,Sergio Perez,Racing Point BWT Mercedes,1:21.607,,,12
6,18,Nicholas Latifi,Williams Mercedes,1:21.759,,,12
99,19,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:21.831,,,12
8,20,Romain Grosjean,Haas Ferrari,DNS,,,1
