,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
55,1,Carlos Sainz,McLaren Renault,68,1:05.619,236.894,16:33:42
33,2,Max Verstappen,Red Bull Racing Honda,70,1:06.145,235.010,16:35:08
44,3,Lewis Hamilton,Mercedes,68,1:06.719,232.989,16:32:16
11,4,Sergio Perez,Racing Point BWT Mercedes,68,1:07.188,231.362,16:33:02
4,5,Lando Norris,McLaren Renault,66,1:07.193,231.345,16:31:03
23,6,Alexander Albon,Red Bull Racing Honda,67,1:07.299,230.981,16:31:53
77,7,Valtteri Bottas,Mercedes,62,1:07.534,230.177,16:25:42
10,8,Pierre Gasly,AlphaTauri Honda,69,1:07.827,229.183,16:35:28
3,9,Daniel Ricciardo,Renault,65,1:07.832,229.166,16:29:52
18,10,Lance Stroll,Racing Point BWT Mercedes,65,1:07.833,229.162,16:29:53
20,11,Kevin Magnussen,Haas Ferrari,69,1:08.009,228.569,16:35:11
8,12,Romain Grosjean,Haas Ferrari,69,1:08.047,228.442,16:35:11
26,13,Daniil Kvyat,AlphaTauri Honda,60,1:08.378,227.336,16:24:45
7,14,Kimi Räikkönen,Alfa Romeo Racing Ferrari,57,1:08.382,227.322,16:21:23
99,15,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,54,1:08.512,226.891,16:17:56
63,16,George Russell,Williams Mercedes,36,1:08.601,226.597,15:57:27
6,17,Nicholas Latifi,Williams Mercedes,68,1:08.806,225.922,16:34:38
31,18,Esteban Ocon,Renault,22,1:09.321,224.243,15:40:17
16,19,Charles Leclerc,Ferrari,3,1:35.379,162.979,15:18:15
