,Position,Driver,Car,Time / Gap,Laps
11,1,Sergio Perez,Racing Point BWT Mercedes,1:04.867,32
33,2,Max Verstappen,Red Bull Racing Honda,+0.096s,31
77,3,Valtteri Bottas,Mercedes,+0.222s,31
44,4,Lewis Hamilton,Mercedes,+0.253s,29
18,5,Lance Stroll,Racing Point BWT Mercedes,+0.529s,36
23,6,Alexander Albon,Red Bull Racing Honda,+0.616s,28
55,7,Carlos Sainz,McLaren Renault,+0.735s,40
10,8,Pierre Gasly,AlphaTauri Honda,+0.831s,27
3,9,Daniel Ricciardo,Renault,+0.902s,31
5,10,Sebastian Vettel,Ferrari,+0.903s,25
26,11,Daniil Kvyat,AlphaTauri Honda,+0.948s,28
16,12,Charles Leclerc,Ferrari,+0.970s,28
31,13,Esteban Ocon,Renault,+1.007s,35
4,14,Lando Norris,McLaren Renault,+1.041s,25
7,15,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+1.574s,23
8,16,Romain Grosjean,Haas Ferrari,+1.579s,31
40,17,Jack Aitken,Williams Mercedes,+1.901s,35
88,18,Robert Kubica,Alfa Romeo Racing Ferrari,+1.930s,31
6,19,Nicholas Latifi,Williams Mercedes,+4.731s,6
20,20,Kevin Magnussen,Haas Ferrari,,3
