,Position,Driver,Car,Time,Laps
2,1,Ayrton Senna,Williams Renault,1:21.548,10
5,2,Michael Schumacher,Benetton Ford,1:21.885,10
28,3,Gerhard Berger,Ferrari,1:22.113,16
0,4,Damon Hill,Williams Renault,1:22.168,14
6,5,Jyrki Jarvilehto,Benetton Ford,1:22.717,13
27,6,Nicola Larini,Ferrari,1:22.841,16
30,7,Heinz-Harald Frentzen,Sauber Mercedes,1:23.119,10
7,8,Mika Hakkinen,McLaren Peugeot,1:23.140,22
3,9,Ukyo Katayama,Tyrrell Yamaha,1:23.322,22
29,10,Karl Wendlinger,Sauber Mercedes,1:23.347,14
10,11,Gianni Morbidelli,Footwork Ford,1:23.663,20
4,12,Mark Blundell,Tyrrell Yamaha,1:23.703,21
8,13,Martin Brundle,McLaren Peugeot,1:23.858,15
23,14,Pierluigi Martini,Minardi Ford,1:24.078,22
24,15,Michele Alboreto,Minardi Ford,1:24.276,23
9,16,Christian Fittipaldi,Footwork Ford,1:24.472,22
25,17,Eric Bernard,Ligier Renault,1:24.678,15
20,18,Erik Comas,Larrousse Ford,1:24.852,16
26,19,Olivier Panis,Ligier Renault,1:24.996,16
12,20,Johnny Herbert,Lotus Mugen Honda,1:25.114,23
15,21,Andrea de Cesaris,Jordan Hart,1:25.234,20
11,22,Pedro Lamy,Lotus Mugen Honda,1:25.295,22
19,23,Olivier Beretta,Larrousse Ford,1:25.991,14
31,24,David Brabham,Simtek Ford,1:26.817,10
34,25,Bertrand Gachot,Pacific Ilmor,1:27.143,21
32,26,Roland Ratzenberger,Simtek Ford,1:27.584,16
33,27,Paul Belmondo,Pacific Ilmor,1:27.881,24
14,28,Rubens Barrichello,Jordan Hart,14:57.323,1
