,Position,Driver,Car,Lap,Time
0,1,Damon Hill,Williams Renault,10,1:24.335
5,2,Michael Schumacher,Benetton Ford,43,1:24.438
28,3,Gerhard Berger,Ferrari,11,1:25.040
30,4,Heinz-Harald Frentzen,Sauber Mercedes,12,1:25.307
10,5,Gianni Morbidelli,Footwork Ford,12,1:25.652
29,6,Karl Wendlinger,Sauber Mercedes,54,1:25.727
7,7,Mika Hakkinen,McLaren Peugeot,18,1:25.737
8,8,Martin Brundle,McLaren Peugeot,54,1:25.774
27,9,Nicola Larini,Ferrari,18,1:25.825
9,10,Christian Fittipaldi,Footwork Ford,11,1:25.954
3,11,Ukyo Katayama,Tyrrell Yamaha,11,1:26.176
4,12,Mark Blundell,Tyrrell Yamaha,25,1:26.259
23,13,Pierluigi Martini,Minardi Ford,21,1:27.221
15,14,Andrea de Cesaris,Jordan Hart,38,1:27.627
26,15,Olivier Panis,Ligier Renault,16,1:27.908
24,16,Michele Alboreto,Minardi Ford,21,1:27.995
12,17,Johnny Herbert,Lotus Mugen Honda,10,1:28.032
25,18,Eric Bernard,Ligier Renault,23,1:28.091
31,19,David Brabham,Simtek Ford,10,1:28.613
19,20,Olivier Beretta,Larrousse Ford,10,1:28.891
34,21,Bertrand Gachot,Pacific Ilmor,12,1:29.094
2,22,Ayrton Senna,Williams Renault,1,1:44.068
20,23,Erik Comas,Larrousse Ford,1,1:58.505
