,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
33,1,Max Verstappen,Red Bull Racing TAG Heuer,64,1:11.044,218.349,15:26:27
44,2,Lewis Hamilton,Mercedes,63,1:11.845,215.914,15:24:46
18,3,Lance Stroll,Williams Mercedes,69,1:11.862,215.863,15:35:07
3,4,Daniel Ricciardo,Red Bull Racing TAG Heuer,71,1:12.029,215.363,15:35:10
77,5,Valtteri Bottas,Mercedes,58,1:12.466,214.064,15:18:37
7,6,Kimi Räikkönen,Ferrari,61,1:12.492,213.987,15:22:18
5,7,Sebastian Vettel,Ferrari,63,1:12.539,213.849,15:24:39
11,8,Sergio Perez,Force India Mercedes,61,1:13.052,212.347,15:23:08
10,9,Pierre Gasly,Toro Rosso,61,1:13.323,211.562,15:23:56
14,10,Fernando Alonso,McLaren Honda,57,1:13.451,211.193,15:18:12
19,11,Felipe Massa,Williams Mercedes,60,1:13.452,211.190,15:21:51
8,12,Romain Grosjean,Haas Ferrari,66,1:13.532,210.961,15:31:00
55,13,Carlos Sainz,Renault,67,1:13.625,210.694,15:31:03
9,14,Marcus Ericsson,Sauber Ferrari,70,1:13.666,210.577,15:35:19
27,15,Nico Hulkenberg,Renault,57,1:13.758,210.314,15:18:30
28,16,Brendon Hartley,Toro Rosso,29,1:14.658,207.779,14:44:03
94,17,Pascal Wehrlein,Sauber Ferrari,60,1:14.812,207.351,15:22:47
