,Position,Driver,Car,Time / Gap,Laps
77,1,Valtteri Bottas,Mercedes,1:09.281,24
44,2,Lewis Hamilton,Mercedes,+0.003s,26
7,3,Kimi Räikkönen,Ferrari,+0.045s,20
5,4,Sebastian Vettel,Ferrari,+0.058s,21
3,5,Daniel Ricciardo,Red Bull Racing TAG Heuer,+0.963s,14
14,6,Fernando Alonso,McLaren Honda,+1.007s,15
11,7,Sergio Perez,Force India Mercedes,+1.041s,21
31,8,Esteban Ocon,Force India Mercedes,+1.076s,23
33,9,Max Verstappen,Red Bull Racing TAG Heuer,+1.214s,9
55,10,Carlos Sainz,Renault,+1.318s,23
2,11,Stoffel Vandoorne,McLaren Honda,+1.356s,21
19,12,Felipe Massa,Williams Mercedes,+1.390s,14
20,13,Kevin Magnussen,Haas Ferrari,+1.440s,19
27,14,Nico Hulkenberg,Renault,+1.462s,18
8,15,Romain Grosjean,Haas Ferrari,+1.481s,20
10,16,Pierre Gasly,Toro Rosso,+1.700s,32
28,17,Brendon Hartley,Toro Rosso,+1.804s,30
94,18,Pascal Wehrlein,Sauber Ferrari,+1.845s,25
9,19,Marcus Ericsson,Sauber Ferrari,+2.199s,27
18,20,Lance Stroll,Williams Mercedes,,1
