,Position,Driver,Car,Q1,Q2,Q3,Laps
44,1,Lewis Hamilton,Mercedes,1:30.609,1:29.520,1:28.319,20
77,2,Valtteri Bottas,Mercedes,1:30.550,1:29.437,1:28.605,19
16,3,Charles Leclerc,Ferrari,1:30.647,1:29.699,1:28.965,19
33,4,Max Verstappen,Red Bull Racing Honda,1:31.327,1:30.099,1:29.409,19
4,5,Lando Norris,McLaren Renault,1:30.989,1:30.019,1:29.418,21
55,6,Carlos Sainz,McLaren Renault,1:31.073,1:30.319,1:29.522,21
5,7,Sebastian Vettel,Ferrari,1:31.075,1:29.506,1:29.799,19
3,8,Daniel Ricciardo,Renault,1:30.954,1:30.369,1:29.918,20
10,9,Pierre Gasly,Red Bull Racing Honda,1:31.152,1:30.421,1:30.184,19
99,10,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:31.180,1:30.408,1:33.420,17
23,11,Alexander Albon,Scuderia Toro Rosso Honda,1:31.445,1:30.461,,14
7,12,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:30.972,1:30.533,,14
27,13,Nico Hulkenberg,Renault,1:30.865,1:30.544,,15
11,14,Sergio Perez,Racing Point BWT Mercedes,1:30.964,1:30.738,,15
20,15,Kevin Magnussen,Haas Ferrari,1:31.166,1:31.440,,17
26,16,Daniil Kvyat,Scuderia Toro Rosso Honda,1:31.564,,,6
8,17,Romain Grosjean,Haas Ferrari,1:31.626,,,9
18,18,Lance Stroll,Racing Point BWT Mercedes,1:31.726,,,9
63,19,George Russell,Williams Mercedes,1:32.789,,,8
88,20,Robert Kubica,Williams Mercedes,1:33.205,,,8
