,Position,Driver,Car,Time
2,1,Alberto Ascari,Ferrari,2:10.590
22,2,Juan Manuel Fangio,Alfa Romeo,2:12.270
6,3,Jose Froilan Gonzalez,Talbot-Lago,2:14.010
20,4,Nino Farina,Alfa Romeo,2:14.940
4,5,Luigi  Villoresi,Ferrari,2:16.380
26,6,Toulo de Graffenried,Alfa Romeo,2:16.400
8,7,Piero  Taruffi,Ferrari,2:16.800
24,8,Felice  Bonetto,Alfa Romeo,2:21.800
14,9,Robert  Manzon,Simca-Gordini,2:23.810
16,10,Andre  Simon,Simca-Gordini,2:24.600
12,11,Maurice  Trintignant,Simca-Gordini,2:25.250
30,12,Louis  Chiron,Maserati,2:30.320
34,13,Philippe  Etancelin,Talbot-Lago,2:31.000
32,14,Yves Giraud-Cabantous,Talbot-Lago,2:32.180
36,15,Johnny Claes,Talbot-Lago,2:34.460
38,16,Georges Grignard,Talbot-Lago,2:36.580
44,17,Paco  Godia,Maserati,2:37.450
46,18,Juan Jover,Maserati,2:41.990
18,19,Prince Bira,Maserati OSCA,2:45.990
28,20,Louis  Rosier,Talbot-Lago,2:46.780
