,Position,Driver,Car,Time
16,1,Charles Leclerc,Ferrari,1:41.218
44,2,Lewis Hamilton,Mercedes,1:41.450
33,3,Max Verstappen,Red Bull Racing Honda,1:41.563
10,4,Pierre Gasly,AlphaTauri Honda,1:41.565
55,5,Carlos Sainz,Ferrari,1:41.576
11,6,Sergio Perez,Red Bull Racing Honda,1:41.917
22,7,Yuki Tsunoda,AlphaTauri Honda,1:42.211
14,8,Fernando Alonso,Alpine Renault,1:42.327
4,9,Lando Norris,McLaren Mercedes,1:41.747
77,10,Valtteri Bottas,Mercedes,1:42.659
5,11,Sebastian Vettel,Aston Martin Mercedes,1:42.224
31,12,Esteban Ocon,Alpine Renault,1:42.273
3,13,Daniel Ricciardo,McLaren Mercedes,1:42.558
7,14,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:42.587
63,15,George Russell,Williams Mercedes,1:42.758
6,16,Nicholas Latifi,Williams Mercedes,1:43.128
47,17,Mick Schumacher,Haas Ferrari,1:44.158
9,18,Nikita Mazepin,Haas Ferrari,1:44.238
18,19,Lance Stroll,Aston Martin Mercedes,
99,20,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,
