,Position,Driver,Car,Time / Gap,Laps
11,1,Sergio Perez,Red Bull Racing RBPT,1:45.476,21
16,2,Charles Leclerc,Ferrari,+0.127s,21
1,3,Max Verstappen,Red Bull Racing RBPT,+0.334s,25
55,4,Carlos Sainz,Ferrari,+0.536s,22
14,5,Fernando Alonso,Alpine Renault,+1.095s,22
44,6,Lewis Hamilton,Mercedes,+1.191s,21
22,7,Yuki Tsunoda,AlphaTauri RBPT,+1.220s,25
63,8,George Russell,Mercedes,+1.229s,24
10,9,Pierre Gasly,AlphaTauri RBPT,+1.354s,25
31,10,Esteban Ocon,Alpine Renault,+1.441s,21
4,11,Lando Norris,McLaren Mercedes,+2.215s,19
18,12,Lance Stroll,Aston Martin Aramco Mercedes,+2.371s,24
20,13,Kevin Magnussen,Haas Ferrari,+2.470s,24
5,14,Sebastian Vettel,Aston Martin Aramco Mercedes,+2.494s,22
77,15,Valtteri Bottas,Alfa Romeo Ferrari,+2.602s,22
24,16,Guanyu Zhou,Alfa Romeo Ferrari,+2.746s,24
23,17,Alexander Albon,Williams Mercedes,+2.943s,22
3,18,Daniel Ricciardo,McLaren Mercedes,+3.334s,22
6,19,Nicholas Latifi,Williams Mercedes,+5.445s,7
47,20,Mick Schumacher,Haas Ferrari,+12.856s,3
