,Position,Driver,Car,Laps,Time,Points
1,1,Max Verstappen,Red Bull Racing RBPT,51,1:34:05.941,25
11,2,Sergio Perez,Red Bull Racing RBPT,51,+20.823s,19
63,3,George Russell,Mercedes,51,+45.995s,15
44,4,Lewis Hamilton,Mercedes,51,+71.679s,12
10,5,Pierre Gasly,AlphaTauri RBPT,51,+77.299s,10
5,6,Sebastian Vettel,Aston Martin Aramco Mercedes,51,+84.099s,8
14,7,Fernando Alonso,Alpine Renault,51,+88.596s,6
3,8,Daniel Ricciardo,McLaren Mercedes,51,+92.207s,4
4,9,Lando Norris,McLaren Mercedes,51,+92.556s,2
31,10,Esteban Ocon,Alpine Renault,51,+108.184s,1
77,11,Valtteri Bottas,Alfa Romeo Ferrari,50,+1 lap,0
23,12,Alexander Albon,Williams Mercedes,50,+1 lap,0
22,13,Yuki Tsunoda,AlphaTauri RBPT,50,+1 lap,0
47,14,Mick Schumacher,Haas Ferrari,50,+1 lap,0
6,15,Nicholas Latifi,Williams Mercedes,50,+1 lap,0
18,16,Lance Stroll,Aston Martin Aramco Mercedes,46,DNF,0
20,NC,Kevin Magnussen,Haas Ferrari,31,DNF,0
24,NC,Guanyu Zhou,Alfa Romeo Ferrari,23,DNF,0
16,NC,Charles Leclerc,Ferrari,21,DNF,0
55,NC,Carlos Sainz,Ferrari,8,DNF,0
