,Position,Driver,Car,Time / Gap,Laps
16,1,Charles Leclerc,Ferrari,1:43.224,24
11,2,Sergio Perez,Red Bull Racing RBPT,+0.248s,22
1,3,Max Verstappen,Red Bull Racing RBPT,+0.356s,18
14,4,Fernando Alonso,Alpine Renault,+0.918s,22
55,5,Carlos Sainz,Ferrari,+1.050s,25
10,6,Pierre Gasly,AlphaTauri RBPT,+1.091s,26
63,7,George Russell,Mercedes,+1.324s,26
22,8,Yuki Tsunoda,AlphaTauri RBPT,+1.343s,24
31,9,Esteban Ocon,Alpine Renault,+1.385s,24
4,10,Lando Norris,McLaren Mercedes,+1.547s,23
5,11,Sebastian Vettel,Aston Martin Aramco Mercedes,+1.557s,27
44,12,Lewis Hamilton,Mercedes,+1.650s,25
18,13,Lance Stroll,Aston Martin Aramco Mercedes,+1.650s,26
3,14,Daniel Ricciardo,McLaren Mercedes,+1.835s,25
77,15,Valtteri Bottas,Alfa Romeo Ferrari,+1.891s,25
24,16,Guanyu Zhou,Alfa Romeo Ferrari,+2.040s,24
20,17,Kevin Magnussen,Haas Ferrari,+2.364s,26
23,18,Alexander Albon,Williams Mercedes,+3.173s,13
47,19,Mick Schumacher,Haas Ferrari,+3.201s,21
6,20,Nicholas Latifi,Williams Mercedes,+3.994s,26
