,Position,Driver,Car,Time
16,1,Charles Leclerc,Ferrari,1:41.359
11,2,Sergio Perez,Red Bull Racing RBPT,1:41.641
1,3,Max Verstappen,Red Bull Racing RBPT,1:41.706
55,4,Carlos Sainz,Ferrari,1:41.814
63,5,George Russell,Mercedes,1:42.712
10,6,Pierre Gasly,AlphaTauri RBPT,1:42.845
44,7,Lewis Hamilton,Mercedes,1:42.924
22,8,Yuki Tsunoda,AlphaTauri RBPT,1:43.056
5,9,Sebastian Vettel,Aston Martin Aramco Mercedes,1:43.091
14,10,Fernando Alonso,Alpine Renault,1:43.173
4,11,Lando Norris,McLaren Mercedes,1:43.398
3,12,Daniel Ricciardo,McLaren Mercedes,1:43.574
31,13,Esteban Ocon,Alpine Renault,1:43.585
24,14,Guanyu Zhou,Alfa Romeo Ferrari,1:43.790
77,15,Valtteri Bottas,Alfa Romeo Ferrari,1:44.444
20,16,Kevin Magnussen,Haas Ferrari,1:44.643
23,17,Alexander Albon,Williams Mercedes,1:44.719
6,18,Nicholas Latifi,Williams Mercedes,1:45.367
18,19,Lance Stroll,Aston Martin Aramco Mercedes,1:45.371
47,20,Mick Schumacher,Haas Ferrari,1:45.775
