,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
20,1,Kevin Magnussen,Haas Ferrari,58,1:42.301,178.168,22:08:16
77,2,Valtteri Bottas,Mercedes,58,1:43.534,176.046,22:07:05
26,3,Daniil Kvyat,Scuderia Toro Rosso Honda,57,1:44.371,174.634,22:05:44
16,4,Charles Leclerc,Ferrari,59,1:44.723,174.047,22:08:45
5,5,Sebastian Vettel,Ferrari,57,1:44.802,173.916,22:05:13
18,6,Lance Stroll,Racing Point BWT Mercedes,57,1:44.896,173.760,22:05:40
44,7,Lewis Hamilton,Mercedes,58,1:44.914,173.730,22:07:02
33,8,Max Verstappen,Red Bull Racing Honda,56,1:45.176,173.298,22:03:31
23,9,Alexander Albon,Red Bull Racing Honda,59,1:45.260,173.159,22:08:53
99,10,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,59,1:45.630,172.553,22:09:00
4,11,Lando Norris,McLaren Renault,58,1:45.716,172.412,22:07:11
27,12,Nico Hulkenberg,Renault,59,1:45.765,172.333,22:08:59
10,13,Pierre Gasly,Scuderia Toro Rosso Honda,58,1:45.769,172.326,22:07:12
3,14,Daniel Ricciardo,Renault,55,1:45.915,172.088,22:02:01
55,15,Carlos Sainz,McLaren Renault,41,1:45.969,172.001,21:32:47
8,16,Romain Grosjean,Haas Ferrari,54,1:46.274,171.507,22:00:12
11,17,Sergio Perez,Racing Point BWT Mercedes,15,1:46.683,170.850,20:41:46
88,18,Robert Kubica,Williams Mercedes,59,1:46.793,170.674,22:09:26
7,19,Kimi Räikkönen,Alfa Romeo Racing Ferrari,18,1:47.062,170.245,20:47:12
63,20,George Russell,Williams Mercedes,29,1:48.285,168.322,21:07:31
