,Position,Driver,Car,Time
16,1,Charles Leclerc,Ferrari,1:36.217
44,2,Lewis Hamilton,Mercedes,1:36.408
5,3,Sebastian Vettel,Ferrari,1:36.437
33,4,Max Verstappen,Red Bull Racing Honda,1:36.813
77,5,Valtteri Bottas,Mercedes,1:37.146
23,6,Alexander Albon,Red Bull Racing Honda,1:37.411
55,7,Carlos Sainz,McLaren Renault,1:37.818
27,8,Nico Hulkenberg,Renault,1:38.264
4,9,Lando Norris,McLaren Renault,1:38.329
99,10,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:38.697
10,11,Pierre Gasly,Scuderia Toro Rosso Honda,1:38.699
7,12,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:38.858
20,13,Kevin Magnussen,Haas Ferrari,1:39.650
26,14,Daniil Kvyat,Scuderia Toro Rosso Honda,1:39.957
11,15,Sergio Perez,Racing Point BWT Mercedes,1:38.620
18,16,Lance Stroll,Racing Point BWT Mercedes,1:39.979
8,17,Romain Grosjean,Haas Ferrari,1:40.277
63,18,George Russell,Williams Mercedes,1:40.867
88,19,Robert Kubica,Williams Mercedes,1:41.186
3,20,Daniel Ricciardo,Renault,
