,Position,Driver,Car,Q1,Q2,Q3,Laps
16,1,Charles Leclerc,Ferrari,1:38.014,1:36.650,1:36.217,18
44,2,Lewis Hamilton,Mercedes,1:37.565,1:36.933,1:36.408,19
5,3,Sebastian Vettel,Ferrari,1:38.374,1:36.720,1:36.437,16
33,4,Max Verstappen,Red Bull Racing Honda,1:38.540,1:37.089,1:36.813,15
77,5,Valtteri Bottas,Mercedes,1:37.317,1:37.142,1:37.146,18
23,6,Alexander Albon,Red Bull Racing Honda,1:39.106,1:37.865,1:37.411,16
55,7,Carlos Sainz,McLaren Renault,1:38.882,1:37.982,1:37.818,19
3,DQ,Daniel Ricciardo,Renault,1:39.362,1:38.399,1:38.095,18
27,8,Nico Hulkenberg,Renault,1:39.001,1:38.580,1:38.264,18
4,9,Lando Norris,McLaren Renault,1:38.606,1:37.572,1:38.329,19
11,10,Sergio Perez,Racing Point BWT Mercedes,1:39.909,1:38.620,,14
99,11,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:39.272,1:38.697,,14
10,12,Pierre Gasly,Scuderia Toro Rosso Honda,1:39.085,1:38.699,,12
7,13,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:39.454,1:38.858,,14
20,14,Kevin Magnussen,Haas Ferrari,1:39.942,1:39.650,,14
26,15,Daniil Kvyat,Scuderia Toro Rosso Honda,1:39.957,,,7
18,16,Lance Stroll,Racing Point BWT Mercedes,1:39.979,,,8
8,17,Romain Grosjean,Haas Ferrari,1:40.277,,,8
63,18,George Russell,Williams Mercedes,1:40.867,,,7
88,19,Robert Kubica,Williams Mercedes,1:41.186,,,6
