,Position,Driver,Car,Time / Gap,Laps
44,1,Lewis Hamilton,Mercedes,1:25.624,24
6,2,Nico Rosberg,Mercedes,+0.176s,25
5,3,Sebastian Vettel,Ferrari,+0.228s,25
55,4,Carlos Sainz,Toro Rosso Ferrari,+0.633s,28
7,5,Kimi Räikkönen,Ferrari,+0.811s,23
33,6,Max Verstappen,Toro Rosso Ferrari,+1.077s,26
77,7,Valtteri Bottas,Williams Mercedes,+1.106s,28
3,8,Daniel Ricciardo,Red Bull Racing TAG Heuer,+1.144s,22
19,9,Felipe Massa,Williams Mercedes,+1.527s,28
11,10,Sergio Perez,Force India Mercedes,+1.618s,22
14,11,Fernando Alonso,McLaren Honda,+1.639s,20
22,12,Jenson Button,McLaren Honda,+1.717s,20
26,13,Daniil Kvyat,Red Bull Racing TAG Heuer,+1.806s,22
9,14,Marcus Ericsson,Sauber Ferrari,+2.035s,26
20,15,Kevin Magnussen,Renault,+2.247s,24
27,16,Nico Hulkenberg,Force India Mercedes,+2.364s,22
30,17,Jolyon Palmer,Renault,+2.493s,24
21,18,Esteban Gutierrez ,Haas Ferrari,+2.660s,21
8,19,Romain Grosjean,Haas Ferrari,+2.668s,11
12,20,Felipe Nasr,Sauber Ferrari,+2.669s,26
94,21,Pascal Wehrlein,MRT Mercedes,+3.422s,18
88,22,Rio Haryanto,MRT Mercedes,+3.648s,23
