,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
3,1,Daniel Ricciardo,Red Bull Racing TAG Heuer,49,1:28.997,214.510,17:43:43
5,2,Sebastian Vettel,Ferrari,23,1:29.951,212.235,17:03:29
6,3,Nico Rosberg,Mercedes,21,1:30.557,210.815,17:00:31
44,4,Lewis Hamilton,Mercedes,48,1:30.646,210.608,17:41:53
7,5,Kimi Räikkönen,Ferrari,21,1:30.701,210.480,17:00:32
33,6,Max Verstappen,Toro Rosso Ferrari,44,1:31.516,208.606,17:36:34
55,7,Carlos Sainz,Toro Rosso Ferrari,23,1:31.671,208.253,17:03:40
22,8,Jenson Button,McLaren Honda,33,1:31.684,208.223,17:19:55
19,9,Felipe Massa,Williams Mercedes,39,1:32.288,206.861,17:28:28
20,10,Kevin Magnussen,Renault,45,1:32.452,206.494,17:38:17
14,11,Fernando Alonso,McLaren Honda,14,1:32.553,206.268,16:29:44
94,12,Pascal Wehrlein,MRT Mercedes,34,1:32.673,206.001,17:21:47
12,13,Felipe Nasr,Sauber Ferrari,48,1:32.711,205.917,17:43:05
77,14,Valtteri Bottas,Williams Mercedes,51,1:32.725,205.886,17:47:21
11,15,Sergio Perez,Force India Mercedes,39,1:32.780,205.764,17:28:53
27,16,Nico Hulkenberg,Force India Mercedes,49,1:32.833,205.646,17:44:15
8,17,Romain Grosjean,Haas Ferrari,48,1:32.862,205.582,17:42:40
30,18,Jolyon Palmer,Renault,14,1:32.955,205.376,16:29:55
21,19,Esteban Gutierrez ,Haas Ferrari,4,1:32.998,205.281,16:13:55
88,20,Rio Haryanto,MRT Mercedes,15,1:33.847,203.424,16:31:45
9,21,Marcus Ericsson,Sauber Ferrari,15,1:33.892,203.327,16:31:32
