,Position,Driver,Car,Q1,Q2,Q3,Laps
15,1,Sebastian Vettel,RBR Renault,1:30.883,1:30.341,1:32.160,14
9,2,Jarno Trulli,Toyota,1:31.063,1:30.737,1:32.220,20
1,3,Lewis Hamilton,McLaren Mercedes,1:30.917,1:30.627,1:32.395,21
20,4,Adrian Sutil,Force India Mercedes,1:31.386,1:31.222,1:32.466,20
23,5,Rubens Barrichello,Brawn Mercedes,1:31.272,1:31.055,1:32.660,18
6,6,Nick Heidfeld,Sauber BMW,1:31.501,1:31.260,1:32.945,19
22,7,Jenson Button,Brawn Mercedes,1:31.041,1:30.880,1:32.962,18
4,8,Kimi Räikkönen,Ferrari,1:31.228,1:31.052,1:32.980,23
2,9,Heikki Kovalainen,McLaren Mercedes,1:31.499,1:31.223,DNF,21
12,10,Sebastien Buemi,STR Ferrari,1:31.196,1:31.103,,12
16,11,Nico Rosberg,Williams Toyota,1:31.286,1:31.482,,17
7,12,Fernando Alonso,Renault,1:31.401,1:31.638,,14
5,13,Robert Kubica,Sauber BMW,1:31.417,1:32.341,,15
10,14,Timo Glock,Toyota,1:31.550,DNF,,13
11,15,Jaime Alguersuari,STR Ferrari,1:31.571,DNF,,14
3,16,Giancarlo Fisichella,Ferrari,1:31.704,,,11
17,17,Kazuki Nakajima,Williams Toyota,1:31.718,,,8
8,18,Romain Grosjean,Renault,1:32.073,,,8
21,19,Vitantonio Liuzzi,Force India Mercedes,1:32.087,,,9
