,Position,Driver,Car,Time / Gap,Laps
44,1,Lewis Hamilton,Mercedes,1:28.063,18
5,2,Sebastian Vettel,Ferrari,+0.032s,14
77,3,Valtteri Bottas,Mercedes,+0.074s,20
7,4,Kimi Räikkönen,Ferrari,+0.669s,15
27,5,Nico Hulkenberg,Renault,+1.417s,14
3,6,Daniel Ricciardo,Red Bull Racing TAG Heuer,+1.549s,15
8,7,Romain Grosjean,Haas Ferrari,+1.756s,14
33,8,Max Verstappen,Red Bull Racing TAG Heuer,+1.841s,13
19,9,Felipe Massa,Williams Mercedes,+1.896s,19
2,10,Stoffel Vandoorne,McLaren Honda,+2.025s,19
14,11,Fernando Alonso,McLaren Honda,+2.075s,17
31,12,Esteban Ocon,Force India Mercedes,+2.109s,19
20,13,Kevin Magnussen,Haas Ferrari,+2.207s,15
30,14,Jolyon Palmer,Renault,+2.239s,16
11,15,Sergio Perez,Force India Mercedes,+2.353s,16
26,16,Daniil Kvyat,Toro Rosso,+2.441s,20
55,17,Carlos Sainz,Toro Rosso,+2.452s,19
94,18,Pascal Wehrlein,Sauber Ferrari,+2.558s,24
9,19,Marcus Ericsson,Sauber Ferrari,+2.567s,24
18,20,Lance Stroll,Williams Mercedes,+3.295s,18
