,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
77,1,Valtteri Bottas,Mercedes,43,1:10.698,219.417,15:06:33
33,2,Max Verstappen,Red Bull Racing Honda,61,1:10.862,218.909,15:31:34
44,3,Lewis Hamilton,Mercedes,46,1:11.082,218.232,15:09:48
23,4,Alexander Albon,Red Bull Racing Honda,52,1:11.087,218.217,15:17:38
5,5,Sebastian Vettel,Ferrari,51,1:11.384,217.309,15:16:06
16,6,Charles Leclerc,Ferrari,63,1:11.423,217.190,15:34:02
4,7,Lando Norris,McLaren Renault,63,1:12.328,214.472,15:34:13
26,8,Daniil Kvyat,Scuderia Toro Rosso Honda,49,1:12.385,214.304,15:14:51
10,9,Pierre Gasly,Scuderia Toro Rosso Honda,65,1:12.425,214.185,15:36:31
18,10,Lance Stroll,Racing Point BWT Mercedes,65,1:12.603,213.660,15:36:44
3,11,Daniel Ricciardo,Renault,44,1:12.733,213.278,15:08:40
11,12,Sergio Perez,Racing Point BWT Mercedes,64,1:12.840,212.965,15:35:27
27,13,Nico Hulkenberg,Renault,64,1:12.934,212.690,15:35:29
99,14,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,49,1:13.020,212.440,15:14:40
7,15,Kimi Räikkönen,Alfa Romeo Racing Ferrari,65,1:13.135,212.106,15:36:37
55,16,Carlos Sainz,McLaren Renault,63,1:13.158,212.039,15:34:10
20,17,Kevin Magnussen,Haas Ferrari,65,1:13.262,211.738,15:36:45
8,18,Romain Grosjean,Haas Ferrari,29,1:13.619,210.711,14:49:48
63,19,George Russell,Williams Mercedes,57,1:13.752,210.331,15:26:35
88,20,Robert Kubica,Williams Mercedes,63,1:14.553,208.072,15:35:36
