,Position,Driver,Car,Laps,Time,Points
6,1,Ronnie Peterson,Lotus Ford,54,1:41:21.570,9
4,2,Patrick Depailler,Tyrrell Ford,54,+47.440s,6
12,3,Gilles Villeneuve,Ferrari,54,+99.760s,4
14,4,Emerson Fittipaldi,Fittipaldi Ford,53,+1 lap,3
26,5,Jacques Laffite,Ligier Matra,53,+1 lap,2
19,6,Vittorio Brambilla,Surtees Ford,53,+1 lap,1
2,7,John Watson,Brabham Alfa Romeo,53,+1 lap,0
30,8,Brett Lunger,McLaren Ford,52,+2 laps,0
31,9,Rene Arnoux,Martini Ford,52,+2 laps,0
17,NC,Clay Regazzoni,Shadow Ford,50,+4 laps,0
32,NC,Keke Rosberg,Wolf Ford,49,+5 laps,0
22,DQ,Derek Daly,Ensign Ford,43,DSQ,0
8,NC,Patrick Tambay,McLaren Ford,40,DNF,0
16,NC,Hans-Joachim Stuck,Shadow Ford,33,DNF,0
15,NC,Jean-Pierre Jabouille,Renault,31,DNF,0
1,NC,Niki Lauda,Brabham Alfa Romeo,28,DNF,0
11,DQ,Carlos Reutemann,Ferrari,27,DSQ,0
3,NC,Didier Pironi,Tyrrell Ford,20,DNF,0
7,NC,James Hunt,McLaren Ford,8,DNF,0
27,NC,Alan  Jones,Williams Ford,7,DNF,0
23,NC,Harald Ertl,Ensign Ford,6,DNF,0
35,NC,Riccardo Patrese,Arrows Ford,6,DNF,0
20,NC,Jody Scheckter,Wolf Ford,3,DNF,0
29,NC,Nelson Piquet,McLaren Ford,2,DNF,0
25,NC,Hector Rebaque,Lotus Ford,1,DNF,0
5,NC,Mario Andretti,Lotus Ford,0,DNF,0
