,Position,Driver,Car,Lap,Time,Avg Speed
4,1,David Coulthard,McLaren Mercedes,53,1:16.088,201.130
2,2,Rubens Barrichello,Ferrari,23,1:16.181,200.884
1,3,Michael Schumacher,Ferrari,27,1:16.286,200.608
6,4,Juan Pablo Montoya,Williams BMW,34,1:16.355,200.426
5,5,Ralf Schumacher,Williams BMW,18,1:16.585,199.825
18,6,Eddie Irvine,Jaguar Cosworth,23,1:17.304,197.966
17,7,Kimi Räikkönen,Sauber Petronas,8,1:17.311,197.948
12,8,Jarno Trulli,Jordan Honda,29,1:17.369,197.800
19,9,Pedro de la Rosa,Jaguar Cosworth,67,1:17.508,197.445
16,10,Nick Heidfeld,Sauber Petronas,23,1:17.538,197.369
11,11,Heinz-Harald Frentzen,Jordan Honda,20,1:17.540,197.363
7,12,Giancarlo Fisichella,Benetton Renault,26,1:17.968,196.280
10,13,Jacques Villeneuve,BAR Honda,4,1:18.181,195.745
9,14,Olivier Panis,BAR Honda,68,1:18.250,195.573
23,15,Luciano Burti,Prost Acer,50,1:18.253,195.565
8,16,Jenson Button,Benetton Renault,25,1:18.359,195.301
14,17,Jos Verstappen,Arrows Asiatech,47,1:18.662,194.548
22,18,Jean Alesi,Prost Acer,14,1:18.817,194.166
15,19,Enrique Bernoldi,Arrows Asiatech,13,1:19.181,193.273
21,20,Fernando Alonso,Minardi European,62,1:19.199,193.229
20,21,Tarso Marques,Minardi European,54,1:19.608,192.236
