,Position,Driver,Car,Time / Gap,Laps
1,1,Michael Schumacher,Ferrari,1:13.729,16
5,2,Ralf Schumacher,Williams BMW,+0.224s,29
4,3,David Coulthard,McLaren Mercedes,+0.243s,23
3,4,Mika Hakkinen,McLaren Mercedes,+0.566s,15
12,5,Jarno Trulli,Jordan Honda,+0.753s,20
2,6,Rubens Barrichello,Ferrari,+0.786s,18
6,7,Juan Pablo Montoya,Williams BMW,+0.923s,25
16,8,Nick Heidfeld,Sauber Petronas,+0.923s,33
18,9,Eddie Irvine,Jaguar Cosworth,+1.095s,38
17,10,Kimi Räikkönen,Sauber Petronas,+1.143s,25
11,11,Heinz-Harald Frentzen,Jordan Honda,+1.263s,20
10,12,Jacques Villeneuve,BAR Honda,+1.332s,28
9,13,Olivier Panis,BAR Honda,+1.393s,32
19,14,Pedro de la Rosa,Jaguar Cosworth,+1.873s,42
22,15,Jean Alesi,Prost Acer,+2.021s,25
14,16,Jos Verstappen,Arrows Asiatech,+2.100s,28
23,17,Luciano Burti,Prost Acer,+2.117s,38
7,18,Giancarlo Fisichella,Benetton Renault,+2.144s,28
8,19,Jenson Button,Benetton Renault,+2.400s,25
15,20,Enrique Bernoldi,Arrows Asiatech,+2.448s,26
21,21,Fernando Alonso,Minardi European,+3.406s,26
20,22,Tarso Marques,Minardi European,+3.427s,33
