,Position,Driver,Car,Time,Laps
5,1,Ralf Schumacher,Williams BMW,1:12.989,10
1,2,Michael Schumacher,Ferrari,1:12.999,12
4,3,David Coulthard,McLaren Mercedes,1:13.186,12
3,4,Mika Hakkinen,McLaren Mercedes,1:13.268,12
12,5,Jarno Trulli,Jordan Honda,1:13.310,12
6,6,Juan Pablo Montoya,Williams BMW,1:13.625,12
11,7,Heinz-Harald Frentzen,Jordan Honda,1:13.815,11
2,8,Rubens Barrichello,Ferrari,1:13.867,11
16,9,Nick Heidfeld,Sauber Petronas,1:14.095,12
10,10,Jacques Villeneuve,BAR Honda,1:14.096,12
9,11,Olivier Panis,BAR Honda,1:14.181,12
18,12,Eddie Irvine,Jaguar Cosworth,1:14.441,10
17,13,Kimi Räikkönen,Sauber Petronas,1:14.536,12
19,14,Pedro de la Rosa,Jaguar Cosworth,1:15.020,11
23,15,Luciano Burti,Prost Acer,1:15.072,11
7,16,Giancarlo Fisichella,Benetton Renault,1:15.220,11
8,17,Jenson Button,Benetton Renault,1:15.420,12
14,18,Jos Verstappen,Arrows Asiatech,1:15.707,12
22,19,Jean Alesi,Prost Acer,1:15.774,11
15,20,Enrique Bernoldi,Arrows Asiatech,1:15.828,12
21,21,Fernando Alonso,Minardi European,1:16.039,12
20,22,Tarso Marques,Minardi European,1:16.500,11
