,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
77,1,Valtteri Bottas,Mercedes,32,1:46.286,237.231,16:16:42
5,2,Sebastian Vettel,Ferrari,25,1:46.644,236.435,16:03:10
44,3,Lewis Hamilton,Mercedes,23,1:46.721,236.264,15:59:39
33,4,Max Verstappen,Red Bull Racing TAG Heuer,36,1:46.946,235.767,16:23:18
20,5,Kevin Magnussen,Haas Ferrari,36,1:47.937,233.602,16:24:11
31,6,Esteban Ocon,Force India Mercedes,35,1:48.078,233.298,16:22:10
11,7,Sergio Perez,Force India Mercedes,38,1:48.080,233.293,16:27:26
8,8,Romain Grosjean,Haas Ferrari,35,1:48.283,232.856,16:22:16
10,9,Pierre Gasly,Scuderia Toro Rosso Honda,36,1:48.588,232.202,16:24:20
55,10,Carlos Sainz,Renault,32,1:48.670,232.027,16:17:19
9,11,Marcus Ericsson,Sauber Ferrari,35,1:48.694,231.976,16:22:39
28,12,Brendon Hartley,Scuderia Toro Rosso Honda,33,1:48.756,231.843,16:19:32
2,13,Stoffel Vandoorne,McLaren Renault,38,1:48.956,231.418,16:28:45
35,14,Sergey Sirotkin,Williams Mercedes,42,1:49.113,231.085,16:35:38
3,15,Daniel Ricciardo,Red Bull Racing TAG Heuer,27,1:49.242,230.812,16:11:14
18,16,Lance Stroll,Williams Mercedes,39,1:49.287,230.717,16:30:11
7,17,Kimi Räikkönen,Ferrari,6,1:54.320,220.559,15:28:52
