,Position,Driver,Car,Time,Laps
8,1,Heinz-Harald Frentzen,Jordan Mugen Honda,1:19.910,9
2,2,David Coulthard,McLaren Mercedes,1:20.176,12
1,3,Mika Hakkinen,McLaren Mercedes,1:20.376,12
6,4,Ralf Schumacher,Williams Supertec,1:20.444,12
18,5,Olivier Panis,Prost Peugeot,1:20.638,12
9,6,Giancarlo Fisichella,Benetton Playlife,1:20.781,11
7,7,Damon Hill,Jordan Mugen Honda,1:20.818,11
22,8,Jacques Villeneuve,BAR Supertec,1:20.825,10
4,9,Eddie Irvine,Ferrari,1:20.842,11
19,10,Jarno Trulli,Prost Peugeot,1:20.965,12
10,11,Alexander Wurz,Benetton Playlife,1:21.144,12
3,12,Mika Salo,Ferrari,1:21.314,12
12,13,Pedro Diniz,Sauber Petronas,1:21.345,11
17,14,Johnny Herbert,Stewart Ford,1:21.379,11
16,15,Rubens Barrichello,Stewart Ford,1:21.490,12
11,16,Jean Alesi,Sauber Petronas,1:21.634,11
23,17,Ricardo Zonta,BAR Supertec,1:22.267,10
5,18,Alessandro Zanardi,Williams Supertec,1:22.284,12
20,19,Luca Badoer,Minardi Ford,1:22.631,11
21,20,Marc Gene,Minardi Ford,1:22.760,12
15,21,Toranosuke Takagi,Arrows,1:23.401,11
14,22,Pedro de la Rosa,Arrows,1:23.698,10
