,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
16,1,Charles Leclerc,Ferrari,53,1:19.232,195.557,14:25:57
23,2,Alexander Albon,Red Bull Racing Honda,48,1:19.325,195.328,14:19:28
5,3,Sebastian Vettel,Ferrari,68,1:19.381,195.190,14:45:52
44,4,Lewis Hamilton,Mercedes,66,1:19.461,194.993,14:43:11
77,5,Valtteri Bottas,Mercedes,66,1:19.494,194.912,14:43:15
10,6,Pierre Gasly,Scuderia Toro Rosso Honda,53,1:19.530,194.824,14:27:24
26,7,Daniil Kvyat,Scuderia Toro Rosso Honda,48,1:19.905,193.910,14:20:22
7,8,Kimi Räikkönen,Alfa Romeo Racing Ferrari,55,1:20.082,193.481,14:30:28
3,9,Daniel Ricciardo,Renault,53,1:20.146,193.327,14:26:52
55,10,Carlos Sainz,McLaren Renault,66,1:20.311,192.929,14:45:03
33,11,Max Verstappen,Red Bull Racing Honda,65,1:20.406,192.702,14:42:51
11,12,Sergio Perez,Racing Point BWT Mercedes,70,1:20.485,192.512,14:49:43
88,13,Robert Kubica,Williams Mercedes,63,1:20.696,192.009,14:42:41
27,14,Nico Hulkenberg,Renault,59,1:20.791,191.783,14:35:07
18,15,Lance Stroll,Racing Point BWT Mercedes,68,1:20.922,191.473,14:47:39
99,16,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,65,1:21.014,191.255,14:43:58
63,17,George Russell,Williams Mercedes,69,1:21.286,190.615,14:50:37
8,18,Romain Grosjean,Haas Ferrari,68,1:21.581,189.926,14:49:20
4,19,Lando Norris,McLaren Renault,46,1:21.643,189.782,14:19:37
20,20,Kevin Magnussen,Haas Ferrari,53,1:21.682,189.691,14:27:52
