,Position,Driver,Car,Q1,Q2,Q3,Laps
33,1,Max Verstappen,Red Bull Racing Honda,1:15.949,1:16.136,1:14.758,16
16,2,Charles Leclerc,Ferrari,1:16.364,1:16.219,1:15.024,18
5,3,Sebastian Vettel,Ferrari,1:16.696,1:15.914,1:15.170,18
44,4,Lewis Hamilton,Mercedes,1:16.424,1:15.721,1:15.262,20
23,5,Alexander Albon,Red Bull Racing Honda,1:16.175,1:16.574,1:15.336,18
77,6,Valtteri Bottas,Mercedes,1:17.062,1:15.852,1:15.338,18
55,7,Carlos Sainz,McLaren Renault,1:17.044,1:16.267,1:16.014,19
4,8,Lando Norris,McLaren Renault,1:17.092,1:16.447,1:16.322,20
26,9,Daniil Kvyat,Scuderia Toro Rosso Honda,1:17.041,1:16.657,1:16.469,22
10,10,Pierre Gasly,Scuderia Toro Rosso Honda,1:17.065,1:16.679,1:16.586,22
11,11,Sergio Perez,Racing Point BWT Mercedes,1:17.465,1:16.687,,14
27,12,Nico Hulkenberg,Renault,1:17.608,1:16.885,,14
3,13,Daniel Ricciardo,Renault,1:17.270,1:16.933,,14
7,14,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:17.225,1:16.967,,14
99,15,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:17.794,1:17.269,,14
18,16,Lance Stroll,Racing Point BWT Mercedes,1:18.065,,,8
20,17,Kevin Magnussen,Haas Ferrari,1:18.436,,,9
8,18,Romain Grosjean,Haas Ferrari,1:18.599,,,9
63,19,George Russell,Williams Mercedes,1:18.823,,,10
88,20,Robert Kubica,Williams Mercedes,1:20.179,,,9
