,Position,Driver,Car,Time
6,1,Riccardo Patrese,Williams Renault,1:13.001
2,2,Gerhard Berger,McLaren Honda,1:13.221
1,3,Ayrton Senna,McLaren Honda,1:13.444
5,4,Nigel Mansell,Williams Renault,1:13.667
27,5,Alain Prost,Ferrari,1:14.352
28,6,Jean Alesi,Ferrari,1:14.852
15,7,Mauricio Gugelmin,Leyton House Ilmor,1:15.266
23,8,Pierluigi Martini,Minardi Ferrari,1:15.394
16,9,Ivan Capelli,Leyton House Ilmor,1:15.481
19,10,Michael Schumacher,Benetton Ford,1:15.578
20,11,Nelson Piquet,Benetton Ford,1:15.666
4,12,Stefano Modena,Tyrrell Honda,1:15.707
24,13,Gianni Morbidelli,Minardi Ferrari,1:15.749
33,14,Andrea de Cesaris,Jordan Ford,1:15.936
8,15,Mark Blundell,Brabham Yamaha,1:16.038
32,16,Roberto Moreno,Jordan Ford,1:16.080
21,17,Emanuele Pirro,Dallara Judd,1:16.135
22,18,Jyrki Jarvilehto,Dallara Judd,1:16.532
7,19,Martin Brundle,Brabham Yamaha,1:16.536
25,20,Thierry Boutsen,Ligier Lamborghini,1:16.757
3,21,Satoru Nakajima,Tyrrell Honda,1:16.926
12,22,Johnny Herbert,Lotus Judd,1:17.015
26,23,Erik Comas,Ligier Lamborghini,1:17.226
9,24,Michele Alboreto,Footwork Porsche,1:17.330
30,25,Aguri Suzuki,Lola Ford,1:17.434
11,26,Mika Hakkinen,Lotus Judd,1:17.714
