,Position,Driver,Car,Lap,Time
5,1,Nigel Mansell,Williams Renault,36,1:18.179
6,2,Riccardo Patrese,Williams Renault,38,1:18.350
2,3,Gerhard Berger,McLaren Honda,36,1:18.856
1,4,Ayrton Senna,McLaren Honda,50,1:18.929
20,5,Nelson Piquet,Benetton Ford,45,1:19.073
19,6,Michael Schumacher,Benetton Ford,68,1:19.206
33,7,Andrea de Cesaris,Jordan Ford,48,1:19.210
28,8,Jean Alesi,Ferrari,55,1:19.418
16,9,Ivan Capelli,Leyton House Ilmor,45,1:19.519
27,10,Alain Prost,Ferrari,33,1:19.531
23,11,Pierluigi Martini,Minardi Ferrari,57,1:19.581
15,12,Mauricio Gugelmin,Leyton House Ilmor,65,1:19.757
9,13,Michele Alboreto,Footwork Porsche,60,1:20.082
32,14,Roberto Moreno,Jordan Ford,57,1:20.096
4,15,Stefano Modena,Tyrrell Honda,30,1:20.342
24,16,Gianni Morbidelli,Minardi Ferrari,56,1:20.357
11,17,Mika Hakkinen,Lotus Judd,35,1:20.445
7,18,Martin Brundle,Brabham Yamaha,27,1:20.480
25,19,Thierry Boutsen,Ligier Lamborghini,38,1:20.700
26,20,Erik Comas,Ligier Lamborghini,43,1:20.781
30,21,Aguri Suzuki,Lola Ford,33,1:21.586
3,22,Satoru Nakajima,Tyrrell Honda,41,1:21.966
22,23,Jyrki Jarvilehto,Dallara Judd,13,1:22.165
21,24,Emanuele Pirro,Dallara Judd,11,1:22.592
8,25,Mark Blundell,Brabham Yamaha,12,1:22.801
12,26,Johnny Herbert,Lotus Judd,1,1:39.804
