,Position,Driver,Car,Time / Gap
6,1,Riccardo Patrese,Williams Renault,1:14.158
2,2,Gerhard Berger,McLaren Honda,+0.613s
1,3,Ayrton Senna,McLaren Honda,+0.687s
33,4,Andrea de Cesaris,Jordan Ford,+1.174s
5,5,Nigel Mansell,Williams Renault,+1.797s
32,6,Roberto Moreno,Jordan Ford,+1.973s
20,7,Nelson Piquet,Benetton Ford,+2.121s
27,8,Alain Prost,Ferrari,+2.140s
16,9,Ivan Capelli,Leyton House Ilmor,+2.365s
23,10,Pierluigi Martini,Minardi Ferrari,+2.536s
22,11,Jyrki Jarvilehto,Dallara Judd,+2.573s
24,12,Gianni Morbidelli,Minardi Ferrari,+2.595s
28,13,Jean Alesi,Ferrari,+2.643s
15,14,Mauricio Gugelmin,Leyton House Ilmor,+2.850s
21,15,Emanuele Pirro,Dallara Judd,+2.872s
4,16,Stefano Modena,Tyrrell Honda,+2.971s
25,17,Thierry Boutsen,Ligier Lamborghini,+3.646s
3,18,Satoru Nakajima,Tyrrell Honda,+3.712s
29,19,Eric Bernard,Lola Ford,+4.212s
7,20,Martin Brundle,Brabham Yamaha,+4.311s
9,21,Michele Alboreto,Footwork Porsche,+4.341s
26,22,Erik Comas,Ligier Lamborghini,+4.491s
30,23,Aguri Suzuki,Lola Ford,+4.689s
12,24,Johnny Herbert,Lotus Judd,+4.739s
19,25,Michael Schumacher,Benetton Ford,+4.785s
17,26,Gabriele Tarquini,AGS Ford,+5.156s
11,27,Mika Hakkinen,Lotus Judd,+5.569s
8,28,Mark Blundell,Brabham Yamaha,+5.662s
35,29,Eric van de Poele,Lambo Lamborghini,+5.885s
34,30,Nicola Larini,Lambo Lamborghini,+8.157s
