,Position,Driver,Car,Time
33,1,Max Verstappen,Red Bull Racing Honda,1:03.720
4,2,Lando Norris,McLaren Mercedes,1:03.768
11,3,Sergio Perez,Red Bull Racing Honda,1:03.990
44,4,Lewis Hamilton,Mercedes,1:04.014
77,5,Valtteri Bottas,Mercedes,1:04.049
10,6,Pierre Gasly,AlphaTauri Honda,1:04.107
22,7,Yuki Tsunoda,AlphaTauri Honda,1:04.273
63,8,George Russell,Williams Mercedes,1:04.591
18,9,Lance Stroll,Aston Martin Mercedes,1:04.618
55,10,Carlos Sainz,Ferrari,1:04.559
5,11,Sebastian Vettel,Aston Martin Mercedes,1:04.570
16,12,Charles Leclerc,Ferrari,1:04.600
3,13,Daniel Ricciardo,McLaren Mercedes,1:04.719
14,14,Fernando Alonso,Alpine Renault,1:04.856
99,15,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:05.083
7,16,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:05.009
31,17,Esteban Ocon,Alpine Renault,1:05.051
6,18,Nicholas Latifi,Williams Mercedes,1:05.195
47,19,Mick Schumacher,Haas Ferrari,1:05.427
9,20,Nikita Mazepin,Haas Ferrari,1:05.951
