,Position,Driver,Car,Q1,Q2,Q3,Laps
33,1,Max Verstappen,Red Bull Racing Honda,1:04.249,1:03.927,1:03.720,16
4,2,Lando Norris,McLaren Mercedes,1:04.345,1:04.415,1:03.768,19
11,3,Sergio Perez,Red Bull Racing Honda,1:04.833,1:04.483,1:03.990,24
44,4,Lewis Hamilton,Mercedes,1:04.506,1:04.258,1:04.014,18
77,5,Valtteri Bottas,Mercedes,1:04.563,1:04.376,1:04.049,19
10,6,Pierre Gasly,AlphaTauri Honda,1:04.841,1:04.412,1:04.107,21
22,7,Yuki Tsunoda,AlphaTauri Honda,1:04.967,1:04.518,1:04.273,21
5,8,Sebastian Vettel,Aston Martin Mercedes,1:04.846,1:04.493,1:04.570,20
63,9,George Russell,Williams Mercedes,1:04.907,1:04.553,1:04.591,15
18,10,Lance Stroll,Aston Martin Mercedes,1:04.927,1:04.547,1:04.618,21
55,11,Carlos Sainz,Ferrari,1:04.596,1:04.559,,15
16,12,Charles Leclerc,Ferrari,1:04.906,1:04.600,,15
3,13,Daniel Ricciardo,McLaren Mercedes,1:04.977,1:04.719,,15
14,14,Fernando Alonso,Alpine Renault,1:04.472,1:04.856,,9
99,15,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:04.782,1:05.083,,15
7,16,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:05.009,,,9
31,17,Esteban Ocon,Alpine Renault,1:05.051,,,6
6,18,Nicholas Latifi,Williams Mercedes,1:05.195,,,6
47,19,Mick Schumacher,Haas Ferrari,1:05.427,,,9
9,20,Nikita Mazepin,Haas Ferrari,1:05.951,,,9
