,Position,Driver,Car,Time / Gap,Laps
33,1,Max Verstappen,Red Bull Racing Honda,1:05.143,37
16,2,Charles Leclerc,Ferrari,+0.266s,33
55,3,Carlos Sainz,Ferrari,+0.288s,33
77,4,Valtteri Bottas,Mercedes,+0.302s,31
22,5,Yuki Tsunoda,AlphaTauri Honda,+0.331s,35
7,6,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+0.443s,28
44,7,Lewis Hamilton,Mercedes,+0.566s,32
11,8,Sergio Perez,Red Bull Racing Honda,+0.583s,31
10,9,Pierre Gasly,AlphaTauri Honda,+0.583s,36
4,10,Lando Norris,McLaren Mercedes,+0.737s,28
31,11,Esteban Ocon,Alpine Renault,+0.837s,30
3,12,Daniel Ricciardo,McLaren Mercedes,+1.038s,31
18,13,Lance Stroll,Aston Martin Mercedes,+1.060s,30
37,14,Guanyu Zhou,Alpine Renault,+1.271s,29
5,15,Sebastian Vettel,Aston Martin Mercedes,+1.301s,28
98,16,Callum Ilott,Alfa Romeo Racing Ferrari,+1.421s,23
47,17,Mick Schumacher,Haas Ferrari,+1.440s,29
45,18,Roy Nissany,Williams Mercedes,+1.540s,34
6,19,Nicholas Latifi,Williams Mercedes,+1.835s,36
9,20,Nikita Mazepin,Haas Ferrari,+2.173s,30
