,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
33,1,Max Verstappen,Red Bull Racing Honda,62,1:06.200,234.815,16:16:38
55,2,Carlos Sainz,Ferrari,70,1:07.762,229.402,16:26:38
44,3,Lewis Hamilton,Mercedes,55,1:08.126,228.177,16:09:09
10,4,Pierre Gasly,AlphaTauri Honda,54,1:08.146,228.110,16:08:26
11,5,Sergio Perez,Red Bull Racing Honda,55,1:08.192,227.956,16:09:20
77,6,Valtteri Bottas,Mercedes,52,1:08.374,227.349,16:05:20
14,7,Fernando Alonso,Alpine Renault,70,1:08.405,227.246,16:27:01
5,8,Sebastian Vettel,Aston Martin Mercedes,51,1:08.420,227.196,16:05:16
22,9,Yuki Tsunoda,AlphaTauri Honda,54,1:08.455,227.080,16:08:50
4,10,Lando Norris,McLaren Mercedes,62,1:08.471,227.027,16:16:49
7,11,Kimi Räikkönen,Alfa Romeo Racing Ferrari,62,1:08.520,226.865,16:17:50
18,12,Lance Stroll,Aston Martin Mercedes,54,1:08.659,226.405,16:08:53
16,13,Charles Leclerc,Ferrari,55,1:08.698,226.277,16:09:23
3,14,Daniel Ricciardo,McLaren Mercedes,56,1:08.820,225.876,16:10:31
6,15,Nicholas Latifi,Williams Mercedes,69,1:08.874,225.699,16:26:23
63,16,George Russell,Williams Mercedes,56,1:08.900,225.613,16:10:49
99,17,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,55,1:09.042,225.149,16:10:06
47,18,Mick Schumacher,Haas Ferrari,56,1:09.394,224.007,16:11:32
9,19,Nikita Mazepin,Haas Ferrari,49,1:09.757,222.842,16:04:03
