,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
77,1,Valtteri Bottas,Mercedes,69,1:13.078,214.833,15:41:46
16,2,Charles Leclerc,Ferrari,63,1:14.356,211.140,15:33:31
33,3,Max Verstappen,Red Bull Racing Honda,67,1:14.767,209.980,15:39:21
44,4,Lewis Hamilton,Mercedes,62,1:14.813,209.851,15:32:08
5,5,Sebastian Vettel,Ferrari,57,1:14.875,209.677,15:25:50
7,6,Kimi Räikkönen,Alfa Romeo Racing Ferrari,60,1:15.442,208.101,15:31:55
27,7,Nico Hulkenberg,Renault,57,1:15.995,206.587,15:26:47
18,8,Lance Stroll,Racing Point BWT Mercedes,47,1:16.043,206.456,15:14:29
3,9,Daniel Ricciardo,Renault,55,1:16.075,206.370,15:24:13
10,10,Pierre Gasly,Red Bull Racing Honda,51,1:16.157,206.147,15:19:17
26,11,Daniil Kvyat,Scuderia Toro Rosso Honda,44,1:16.198,206.036,15:10:41
8,12,Romain Grosjean,Haas Ferrari,60,1:16.245,205.909,15:31:51
11,13,Sergio Perez,Racing Point BWT Mercedes,61,1:16.314,205.723,15:32:38
99,14,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,69,1:16.365,205.586,15:43:18
55,15,Carlos Sainz,McLaren Renault,37,1:16.471,205.301,15:01:32
23,16,Alexander Albon,Scuderia Toro Rosso Honda,47,1:17.151,203.491,15:15:26
63,17,George Russell,Williams Mercedes,58,1:17.241,203.254,15:30:00
88,18,Robert Kubica,Williams Mercedes,64,1:17.285,203.139,15:38:47
20,19,Kevin Magnussen,Haas Ferrari,41,1:17.309,203.075,15:07:55
4,20,Lando Norris,McLaren Renault,4,1:18.023,201.217,14:18:26
