,Position,Driver,Car,Q1,Q2,Q3,Laps
5,1,Sebastian Vettel,Ferrari,1:11.200,1:11.142,1:10.240,23
44,2,Lewis Hamilton,Mercedes,1:11.518,1:11.010,1:10.446,22
16,3,Charles Leclerc,Ferrari,1:11.214,1:11.205,1:10.920,23
3,4,Daniel Ricciardo,Renault,1:11.837,1:11.532,1:11.071,20
10,5,Pierre Gasly,Red Bull Racing Honda,1:12.023,1:11.196,1:11.079,17
77,6,Valtteri Bottas,Mercedes,1:11.229,1:11.095,1:11.101,19
27,7,Nico Hulkenberg,Renault,1:11.720,1:11.553,1:11.324,21
4,8,Lando Norris,McLaren Renault,1:11.780,1:11.735,1:11.863,20
55,9,Carlos Sainz,McLaren Renault,1:11.750,1:11.572,1:13.981,19
20,10,Kevin Magnussen,Haas Ferrari,1:12.107,1:11.786,,15
33,11,Max Verstappen,Red Bull Racing Honda,1:11.619,1:11.800,,12
26,12,Daniil Kvyat,Scuderia Toro Rosso Honda,1:11.965,1:11.921,,17
99,13,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:12.122,1:12.136,,16
23,14,Alexander Albon,Scuderia Toro Rosso Honda,1:12.020,1:12.193,,16
8,15,Romain Grosjean,Haas Ferrari,1:12.109,DNF,,15
11,16,Sergio Perez,Racing Point BWT Mercedes,1:12.197,,,6
7,17,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:12.230,,,10
18,18,Lance Stroll,Racing Point BWT Mercedes,1:12.266,,,9
63,19,George Russell,Williams Mercedes,1:13.617,,,10
88,20,Robert Kubica,Williams Mercedes,1:14.393,,,10
