,Position,Driver,Car,Lap,Time
8,1,Gerhard Berger,Benetton Renault,9,1:45.747
7,2,Jean Alesi,Benetton Renault,20,1:45.917
11,3,Ralf Schumacher,Jordan Peugeot,24,1:46.127
12,4,Giancarlo Fisichella,Jordan Peugeot,34,1:46.274
1,5,Damon Hill,Arrows Yamaha,10,1:46.560
5,6,Michael Schumacher,Ferrari,43,1:46.603
14,7,Jarno Trulli,Prost Mugen Honda,23,1:46.733
9,8,Mika Hakkinen,McLaren Mercedes,9,1:46.831
3,9,Jacques Villeneuve,Williams Renault,24,1:47.044
22,10,Rubens Barrichello,Stewart Ford,28,1:47.074
17,11,Norberto Fontana,Sauber Petronas,27,1:47.908
15,12,Shinji Nakano,Prost Mugen Honda,24,1:47.939
23,13,Jan Magnussen,Stewart Ford,14,1:48.189
2,14,Pedro Diniz,Arrows Yamaha,5,1:48.836
16,15,Johnny Herbert,Sauber Petronas,3,1:49.184
19,16,Mika Salo,Tyrrell Ford,25,1:49.611
18,17,Jos Verstappen,Tyrrell Ford,4,1:50.159
20,18,Ukyo Katayama,Minardi Hart,22,1:50.161
10,19,David Coulthard,McLaren Mercedes,1,2:22.236
4,20,Heinz-Harald Frentzen,Williams Renault,1,3:13.699
6,21,Eddie Irvine,Ferrari,1,3:16.256
