,Position,Driver,Car,Time
2,1,Ronnie Peterson,Lotus Ford,1:21.800
5,2,Denny Hulme,McLaren Ford,1:22.500
4,3,Francois  Cevert ,Tyrrell Ford,1:22.700
3,4,Jackie Stewart,Tyrrell Ford,1:23.200
6,5,Peter   Revson,McLaren Ford,1:23.400
7,6,Jacky Ickx,Ferrari,1:23.500
1,7,Emerson Fittipaldi,Lotus Ford,1:23.700
14,8,Clay Regazzoni,BRM,1:23.700
9,9,Mike Hailwood,Surtees Ford,1:24.200
15,10,Jean-Pierre Beltoise,BRM,1:24.200
16,11,Niki Lauda,BRM,1:24.400
17,12,Wilson Fittipaldi,Brabham Ford,1:24.500
19,13,Jackie Oliver,Shadow Ford,1:24.600
20,14,George  Follmer ,Shadow Ford,1:24.700
18,15,Carlos Reutemann,Brabham Ford,1:24.700
10,16,Carlos Pace,Surtees Ford,1:25.000
21,17,Andrea de Adamich ,Brabham Ford,1:25.200
11,18,Henri Pescarolo,March Ford,1:26.100
12,19,Mike  Beuttler ,March Ford,1:26.200
24,20,Nanni  Galli ,Iso Marlboro Ford,1:26.300
23,21,Howden  Ganley ,Iso Marlboro Ford,1:26.500
25,22,Graham Hill,Shadow Ford,1:30.300
