,Position,Driver,Car,Time / Gap,Laps
3,1,Lewis Hamilton,McLaren Mercedes,1:26.836,22
1,2,Sebastian Vettel,Red Bull Racing Renault,+0.580s,23
2,3,Mark Webber,Red Bull Racing Renault,+0.592s,27
4,4,Jenson Button,McLaren Mercedes,+1.558s,23
7,5,Michael Schumacher,Mercedes,+1.695s,23
8,6,Nico Rosberg,Mercedes,+1.706s,29
6,7,Felipe Massa,Ferrari,+1.808s,22
14,8,Adrian Sutil,Force India Mercedes,+1.869s,23
18,9,Sebastien Buemi,STR Ferrari,+2.383s,24
16,10,Kamui Kobayashi,Sauber Ferrari,+2.519s,29
15,11,Paul di Resta,Force India Mercedes,+2.864s,24
10,12,Vitaly Petrov,Renault,+2.869s,22
9,13,Bruno Senna,Renault,+2.963s,20
17,14,Sergio Perez,Sauber Ferrari,+3.296s,25
11,15,Rubens Barrichello,Williams Cosworth,+3.531s,21
19,16,Jaime Alguersuari,STR Ferrari,+3.730s,19
12,17,Pastor Maldonado,Williams Cosworth,+3.833s,22
21,18,Jarno Trulli,Lotus Renault,+3.982s,22
20,19,Karun Chandhok,Lotus Renault,+5.651s,24
24,20,Timo Glock,Virgin Cosworth,+5.935s,24
23,21,Daniel Ricciardo,HRT Cosworth,+7.092s,27
22,22,Narain Karthikeyan,HRT Cosworth,+7.277s,30
25,23,Jerome d'Ambrosio,Virgin Cosworth,+8.960s,19
5,24,Fernando Alonso,Ferrari,+9.063s,4
