,Position,Driver,Car,Lap,Time,Avg Speed
1,1,Sebastian Vettel,Red Bull Racing Renault,60,1:27.249,211.463
2,2,Mark Webber,Red Bull Racing Renault,59,1:27.520,210.808
5,3,Fernando Alonso,Ferrari,58,1:27.953,209.771
4,4,Jenson Button,McLaren Mercedes,60,1:27.967,209.737
7,5,Michael Schumacher,Mercedes,48,1:28.549,208.359
8,6,Nico Rosberg,Mercedes,59,1:28.600,208.239
11,7,Rubens Barrichello,Williams Cosworth,56,1:28.635,208.157
15,8,Paul di Resta,Force India Mercedes,59,1:28.679,208.053
3,9,Lewis Hamilton,McLaren Mercedes,58,1:28.721,207.955
19,10,Jaime Alguersuari,STR Ferrari,57,1:29.239,206.748
10,11,Vitaly Petrov,Renault,58,1:29.289,206.632
14,12,Adrian Sutil,Force India Mercedes,59,1:29.289,206.632
9,13,Bruno Senna,Renault,55,1:29.310,206.583
17,14,Sergio Perez,Sauber Ferrari,58,1:29.345,206.502
6,15,Felipe Massa,Ferrari,19,1:30.243,204.447
20,16,Heikki Kovalainen,Lotus Renault,58,1:30.294,204.332
18,17,Sebastien Buemi,STR Ferrari,23,1:30.956,202.845
23,18,Daniel Ricciardo,HRT Cosworth,49,1:31.674,201.256
21,19,Jarno Trulli,Lotus Renault,52,1:31.691,201.219
22,20,Narain Karthikeyan,HRT Cosworth,44,1:31.988,200.569
25,21,Jerome d'Ambrosio,Virgin Cosworth,51,1:31.990,200.565
12,22,Pastor Maldonado,Williams Cosworth,12,1:33.573,197.172
24,23,Timo Glock,Virgin Cosworth,2,2:09.008,143.014
