,Position,Driver,Car,Time / Gap
5,1,Nigel Mansell,Williams Renault,1:38.986
1,2,Ayrton Senna,McLaren Honda,+1.988s
2,3,Gerhard Berger,McLaren Honda,+2.785s
6,4,Riccardo Patrese,Williams Renault,+2.863s
19,5,Michael Schumacher,Benetton Ford,+3.237s
27,6,Jean Alesi,Ferrari,+4.594s
20,7,Martin Brundle,Benetton Ford,+4.634s
25,8,Thierry Boutsen,Ligier Renault,+5.207s
4,9,Andrea de Cesaris,Tyrrell Ilmor,+5.333s
3,10,Olivier Grouillard,Tyrrell Ilmor,+5.398s
10,11,Aguri Suzuki,Footwork Mugen Honda,+5.513s
9,12,Michele Alboreto,Footwork Mugen Honda,+5.583s
26,13,Erik Comas,Ligier Renault,+5.623s
12,14,Johnny Herbert,Lotus Ford,+5.734s
16,15,Karl Wendlinger,March Ilmor,+5.985s
28,16,Ivan Capelli,Ferrari,+6.277s
30,17,Ukyo Katayama,Venturi Lamborghini,+6.362s
17,18,Paul Belmondo,March Ilmor,+6.464s
15,19,Gabriele Tarquini,Fondmetal Ford,+6.640s
22,20,Pierluigi Martini,Dallara Ferrari,+6.652s
29,21,Bertrand Gachot,Venturi Lamborghini,+6.730s
21,22,Jyrki Jarvilehto,Dallara Ferrari,+7.015s
24,23,Gianni Morbidelli,Minardi Lamborghini,+7.033s
23,24,Alessandro Zanardi,Minardi Lamborghini,+7.165s
11,25,Mika Hakkinen,Lotus Ford,+7.193s
14,26,Andrea Chiesa,Fondmetal Ford,+8.186s
33,27,Mauricio Gugelmin,Jordan Yamaha,+8.299s
32,28,Stefano Modena,Jordan Yamaha,+8.322s
7,29,Eric van de Poele,Brabham Judd,+9.270s
8,30,Damon Hill,Brabham Judd,+9.340s
