,Position,Driver,Car,Lap,Time
6,1,Riccardo Patrese,Williams Renault,36,1:41.591
1,2,Ayrton Senna,McLaren Honda,44,1:42.272
5,3,Nigel Mansell,Williams Renault,29,1:42.379
20,4,Martin Brundle,Benetton Ford,39,1:43.246
19,5,Michael Schumacher,Benetton Ford,23,1:43.690
25,6,Thierry Boutsen,Ligier Renault,39,1:43.944
27,7,Jean Alesi,Ferrari,38,1:44.099
26,8,Erik Comas,Ligier Renault,41,1:44.453
11,9,Mika Hakkinen,Lotus Ford,18,1:44.777
2,10,Gerhard Berger,McLaren Honda,13,1:44.811
22,11,Pierluigi Martini,Dallara Ferrari,38,1:45.382
9,12,Michele Alboreto,Footwork Mugen Honda,37,1:45.474
17,13,Paul Belmondo,March Ilmor,38,1:45.496
29,14,Bertrand Gachot,Venturi Lamborghini,41,1:45.514
21,15,Jyrki Jarvilehto,Dallara Ferrari,41,1:45.517
15,16,Gabriele Tarquini,Fondmetal Ford,31,1:45.586
12,17,Johnny Herbert,Lotus Ford,23,1:45.656
24,18,Gianni Morbidelli,Minardi Lamborghini,34,1:45.825
16,19,Karl Wendlinger,March Ilmor,23,1:46.023
28,20,Ivan Capelli,Ferrari,12,1:46.029
4,21,Andrea de Cesaris,Tyrrell Ilmor,22,1:46.820
33,22,Mauricio Gugelmin,Jordan Yamaha,42,1:48.450
3,23,Olivier Grouillard,Tyrrell Ilmor,7,1:48.489
30,24,Ukyo Katayama,Venturi Lamborghini,8,1:48.639
10,25,Aguri Suzuki,Footwork Mugen Honda,1,2:03.333
23,26,Alessandro Zanardi,Minardi Lamborghini,1,2:33.909
