,Position,Driver,Car,Time / Gap
5,1,Nigel Mansell,Williams Renault,1:37.808
6,2,Riccardo Patrese,Williams Renault,+1.608s
1,3,Ayrton Senna,McLaren Honda,+1.948s
2,4,Gerhard Berger,McLaren Honda,+2.132s
20,5,Martin Brundle,Benetton Ford,+4.264s
27,6,Jean Alesi,Ferrari,+4.307s
25,7,Thierry Boutsen,Ligier Renault,+4.460s
3,8,Olivier Grouillard,Tyrrell Ilmor,+4.882s
4,9,Andrea de Cesaris,Tyrrell Ilmor,+4.888s
10,10,Aguri Suzuki,Footwork Mugen Honda,+5.232s
12,11,Johnny Herbert,Lotus Ford,+5.370s
26,12,Erik Comas,Ligier Renault,+5.506s
9,13,Michele Alboreto,Footwork Mugen Honda,+5.719s
21,14,Jyrki Jarvilehto,Dallara Ferrari,+5.725s
19,15,Michael Schumacher,Benetton Ford,+5.743s
15,16,Gabriele Tarquini,Fondmetal Ford,+5.839s
22,17,Pierluigi Martini,Dallara Ferrari,+5.973s
11,18,Mika Hakkinen,Lotus Ford,+5.980s
30,19,Ukyo Katayama,Venturi Lamborghini,+6.011s
16,20,Karl Wendlinger,March Ilmor,+6.046s
23,21,Alessandro Zanardi,Minardi Lamborghini,+6.247s
24,22,Gianni Morbidelli,Minardi Lamborghini,+6.625s
17,23,Paul Belmondo,March Ilmor,+6.810s
28,24,Ivan Capelli,Ferrari,+6.934s
32,25,Stefano Modena,Jordan Yamaha,+7.141s
14,26,Andrea Chiesa,Fondmetal Ford,+7.517s
29,27,Bertrand Gachot,Venturi Lamborghini,+7.826s
33,28,Mauricio Gugelmin,Jordan Yamaha,+7.908s
7,29,Eric van de Poele,Brabham Judd,+8.184s
8,30,Damon Hill,Brabham Judd,+8.407s
