,Position,Driver,Car,Q1,Q2,Q3,Laps
5,1,Sebastian Vettel,RBR Renault,1:38.324,1:38.015,1:37.587,18
6,2,Mark Webber,RBR Renault,1:38.549,1:38.041,1:37.662,21
2,3,Lewis Hamilton,McLaren Mercedes,1:38.697,1:38.158,1:37.969,17
8,4,Fernando Alonso,Ferrari,1:38.472,1:38.179,1:38.075,23
7,5,Felipe Massa,Ferrari,1:38.657,1:38.046,1:38.127,22
11,6,Robert Kubica,Renault,1:38.132,1:38.062,1:38.137,18
1,7,Jenson Button,McLaren Mercedes,1:38.360,1:38.399,1:38.210,22
10,8,Nico Hulkenberg,Williams Cosworth,1:38.843,1:38.523,1:38.428,23
9,9,Rubens Barrichello,Williams Cosworth,1:38.449,1:38.326,1:38.428,23
12,10,Vitaly Petrov,Renault,1:39.004,1:38.552,1:38.523,21
16,11,Sebastien Buemi,STR Ferrari,1:39.096,1:38.586,,15
4,12,Nico Rosberg,Mercedes,1:38.752,1:38.627,,12
14,13,Adrian Sutil,Force India Mercedes,1:39.021,1:38.851,,14
15,14,Vitantonio Liuzzi,Force India Mercedes,1:38.969,1:38.884,,15
3,15,Michael Schumacher,Mercedes,1:38.994,1:39.234,,19
22,16,Pedro de la Rosa,Sauber Ferrari,1:39.003,1:39.264,,16
17,17,Jaime Alguersuari,STR Ferrari,1:39.128,1:39.458,,16
23,18,Kamui Kobayashi,Sauber Ferrari,1:39.343,,,9
18,19,Jarno Trulli,Lotus Cosworth,1:40.658,,,11
19,20,Heikki Kovalainen,Lotus Cosworth,1:40.882,,,11
25,21,Lucas di Grassi,Virgin Cosworth,1:42.086,,,11
24,22,Timo Glock,Virgin Cosworth,1:42.140,,,9
20,23,Karun Chandhok,HRT Cosworth,1:42.600,,,9
21,24,Bruno Senna,HRT Cosworth,1:42.851,,,10
