,Position,Driver,Car,Laps,Time,Points
6,1,Nico Rosberg,Mercedes,71,1:42:35.038,25
44,2,Lewis Hamilton,Mercedes,71,+1.954s,18
77,3,Valtteri Bottas,Williams Mercedes,71,+14.592s,15
26,4,Daniil Kvyat,Red Bull Racing Renault,71,+16.572s,12
3,5,Daniel Ricciardo,Red Bull Racing Renault,71,+19.682s,10
19,6,Felipe Massa,Williams Mercedes,71,+21.493s,8
27,7,Nico Hulkenberg,Force India Mercedes,71,+25.860s,6
11,8,Sergio Perez,Force India Mercedes,71,+34.343s,4
33,9,Max Verstappen,STR Renault,71,+35.229s,2
8,10,Romain Grosjean,Lotus Mercedes,71,+37.934s,1
13,11,Pastor Maldonado,Lotus Mercedes,71,+38.538s,0
9,12,Marcus Ericsson,Sauber Ferrari,71,+40.180s,0
55,13,Carlos Sainz,STR Renault,71,+48.772s,0
22,14,Jenson Button,McLaren Honda,71,+49.214s,0
53,15,Alexander Rossi,Marussia Ferrari,69,+2 laps,0
28,16,Will Stevens,Marussia Ferrari,69,+2 laps,0
12,NC,Felipe Nasr,Sauber Ferrari,57,DNF,0
5,NC,Sebastian Vettel,Ferrari,50,DNF,0
7,NC,Kimi Räikkönen,Ferrari,21,DNF,0
14,NC,Fernando Alonso,McLaren Honda,1,DNF,0
