,Position,Driver,Car,Lap,Time,Avg Speed
3,1,Juan Pablo Montoya,Williams BMW,37,1:22.095,192.114
4,2,Ralf Schumacher,Williams BMW,55,1:22.319,191.591
6,3,Kimi Räikkönen,McLaren Mercedes,66,1:22.372,191.467
8,4,Fernando Alonso,Renault,47,1:22.565,191.020
21,5,Cristiano da Matta,Toyota,36,1:23.040,189.927
14,6,Mark Webber,Jaguar Cosworth,49,1:23.156,189.662
5,7,David Coulthard,McLaren Mercedes,40,1:23.193,189.578
1,8,Michael Schumacher,Ferrari,38,1:23.207,189.546
17,9,Jenson Button,BAR Honda,65,1:23.376,189.162
7,10,Jarno Trulli,Renault,34,1:24.100,187.533
9,11,Nick Heidfeld,Sauber Petronas,54,1:24.267,187.162
20,12,Olivier Panis,Toyota,17,1:24.414,186.836
10,13,Heinz-Harald Frentzen,Sauber Petronas,45,1:24.450,186.756
2,14,Rubens Barrichello,Ferrari,13,1:24.583,186.463
15,15,Justin Wilson,Jaguar Cosworth,26,1:24.936,185.688
11,16,Giancarlo Fisichella,Jordan Ford,13,1:25.081,185.371
16,17,Jacques Villeneuve,BAR Honda,13,1:25.278,184.943
12,18,Zsolt Baumgartner,Jordan Ford,22,1:26.464,182.406
19,19,Jos Verstappen,Minardi Cosworth,60,1:26.559,182.206
18,20,Nicolas Kiesa,Minardi Cosworth,47,1:27.641,179.956
